server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;0;0.0;1.0;2;0;1.0;1.0
1;0;0.0;1.0;1;15;2.0;1.0
2;0;0.0;34.0;0;19;27.0;34.0
3;1;1.0;5.0;3;13;4.0;4.0
4;1;1.0;7.0;4;12;5.0;6.0
5;3;3.0;11.0;6;11;6.0;8.0
6;3;3.0;14.0;5;23;11.0;11.0
7;5;5.0;8.0;7;29;2.0;3.0
8;6;6.0;7.0;8;28;2.0;1.0
9;6;6.0;7.0;11;18;1.0;1.0
10;6;6.0;34.0;12;16;29.0;28.0
12;6;6.0;8.0;10;14;4.0;2.0
13;6;6.0;12.0;9;12;6.0;6.0
14;10;10.0;19.0;14;26;9.0;9.0
15;10;10.0;20.0;13;27;9.0;10.0
16;11;11.0;21.0;16;18;12.0;10.0
17;11;11.0;25.0;15;25;13.0;14.0
18;13;13.0;39.0;18;15;25.0;26.0
19;13;13.0;39.0;17;14;26.0;26.0
0;13;13.0;17.0;19;21;6.0;4.0
1;13;13.0;42.0;20;6;29.0;29.0
8;14;14.0;26.0;22;19;13.0;12.0
9;15;15.0;34.0;24;26;18.0;19.0
12;15;15.0;24.0;23;20;11.0;9.0
7;15;15.0;19.0;25;15;2.0;4.0
3;15;15.0;38.0;26;16;25.0;23.0
4;16;16.0;20.0;34;16;2.0;4.0
13;14;16.0;24.0;21;24;6.0;8.0
5;16;16.0;39.0;33;15;24.0;23.0
6;16;16.0;18.0;27;10;1.0;2.0
0;16;17.0;28.0;31;22;11.0;11.0
6;16;18.0;27.0;29;24;9.0;9.0
7;19;19.0;35.0;36;0;17.0;16.0
14;16;19.0;36.0;30;18;17.0;17.0
11;16;19.38511934647385;41.38511934647385;28;8;21.0;22.0
4;20;20.0;28.0;37;25;9.0;8.0
16;22;22.0;25.0;40;24;3.0;3.0
15;22;22.0;29.0;39;20;7.0;7.0
12;24;24.0;25.0;43;25;2.0;1.0
13;24;24.0;46.0;41;16;22.0;22.0
12;25;25.0;26.0;44;0;1.0;1.0
16;25;25.0;27.0;47;8;3.0;2.0
17;25;25.0;39.0;45;5;12.0;14.0
8;25;26.0;38.0;46;18;13.0;12.0
12;24;26.0;34.0;42;14;4.0;8.0
16;22;27.0;30.0;38;8;3.0;3.0
6;27;27.0;38.0;48;19;11.0;11.0
0;29;29.0;31.0;49;0;1.0;2.0
15;30;30.0;34.0;53;0;2.0;4.0
16;30;30.0;41.0;50;18;12.0;11.0
