server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;0;0.0;28.0;0;23;28.0;28.0
1;1;1.0;20.0;1;26;18.0;19.0
4;1;1.0;7.0;2;18;6.0;6.0
8;2;2.0;16.0;4;15;14.0;14.0
9;2;2.0;4.0;6;10;2.0;2.0
11;2;2.0;9.0;5;16;8.0;7.0
12;2;2.0;20.0;3;27;17.0;18.0
13;3;3.0;13.0;7;18;10.0;10.0
15;3;3.0;30.0;9;1;25.0;27.0
16;3;3.0;8.0;8;2;6.0;5.0
18;5;5.0;11.0;10;3;8.0;6.0
19;5;5.0;6.0;14;15;3.0;1.0
17;5;5.0;11.0;16;2;5.0;6.0
9;5;5.0;28.0;13;7;24.0;23.0
10;5;5.618378766940248;30.618378766940246;12;26;24.0;25.0
14;5;5.647196147918015;16.647196147918017;15;4;9.0;11.000000000000002
19;5;6.0;26.0;11;26;19.0;20.0
4;7;7.0;19.0;18;27;12.0;12.0
6;7;7.055545783490103;24.055545783490103;17;14;17.0;17.0
16;8;8.0;29.0;20;27;20.0;21.0
11;8;9.0;36.0;19;7;26.0;27.0
3;12;12.0;13.0;22;19;1.0;1.0
17;12;12.0;41.0;25;1;28.0;29.0
18;12;12.0;19.0;26;13;10.0;7.0
3;12;13.0;35.0;24;20;22.0;22.0
13;12;13.0;40.0;23;7;27.0;27.0
2;14;14.0;21.0;28;8;7.0;7.0
8;14;16.0;18.0;33;13;2.0;2.0
14;14;16.647196147918017;26.647196147918017;32;26;11.0;10.0
8;18;18.0;19.0;48;18;1.0;1.0
18;19;19.0;21.0;50;10;4.0;2.0
8;18;19.0;20.0;49;24;1.0;1.0
4;17;19.0;22.0;40;3;4.0;3.0
8;14;20.0;24.0;29;6;5.0;4.0
12;14;20.0;23.0;31;7;3.0;3.0
1;20;20.0;27.0;54;15;6.0;7.0
5;19;20.493361879220238;21.493361879220238;51;11;1.0;1.0
7;17;20.642591284404517;24.642591284404517;38;14;3.0;4.0
2;19;21.0;23.0;52;22;3.0;2.0
18;17;21.0;40.0;46;11;17.0;19.0
5;21;21.493361879220238;23.493361879220238;57;6;1.0;2.0
4;17;22.0;27.0;39;15;6.0;5.0
2;22;23.0;24.0;59;25;4.0;1.0
12;23;23.0;36.0;62;29;11.0;13.0
5;22;23.493361879220238;29.493361879220238;60;25;5.0;6.0
2;23;24.0;32.0;64;12;12.0;8.0
6;23;24.055545783490103;41.0555457834901;63;15;17.0;17.0
7;23;24.642591284404517;31.642591284404517;65;15;4.0;7.0
19;15;26.0;32.0;35;15;3.0;6.0
14;25;26.647196147918017;32.64719614791802;67;22;6.0;6.0
