server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;1;1.0;19.0;0;21;19.0;18.0
3;3;3.0;13.0;2;12;12.0;10.0
4;3;3.0;20.0;1;4;13.0;17.0
5;4;4.0;27.0;4;4;23.0;23.0
8;4;4.0;21.0;3;2;16.0;17.0
9;5;5.0;28.0;8;6;21.0;23.0
10;5;5.0;33.0;9;22;27.0;28.0
13;5;5.0;23.0;10;23;16.0;18.0
14;5;5.0;34.0;11;11;29.0;29.0
16;5;5.0;27.0;12;17;21.0;22.0
18;5;5.0;13.0;6;17;10.0;8.0
19;5;5.0;27.0;7;23;22.0;22.0
15;5;5.0;7.0;5;14;3.0;2.0
15;6;7.0;27.0;14;9;19.0;20.0
1;6;9.668243167643464;37.66824316764347;13;26;27.0;28.000000000000004
2;8;10.542764617635225;30.542764617635225;16;20;20.0;20.0
7;11;12.427753216588778;21.427753216588776;20;19;9.0;8.999999999999998
18;11;13.0;14.0;17;11;1.0;1.0
3;11;13.0;19.0;19;19;5.0;6.0
11;12;13.759857026240319;23.75985702624032;21;2;12.0;10.0
18;13;14.0;24.0;23;22;9.0;10.0
17;14;18.480844026378342;49.48084402637834;28;7;29.0;31.0
3;16;19.0;40.0;33;20;21.0;21.0
0;13;19.0;26.0;25;18;6.0;7.0
4;12;20.0;37.0;22;11;18.0;17.0
8;13;21.0;38.0;24;0;17.0;17.0
7;14;21.427753216588776;27.427753216588776;27;24;7.0;6.0
6;14;22.65159713163976;30.65159713163976;29;11;8.0;8.0
11;14;23.75985702624032;50.75985702624032;30;28;28.0;27.0
18;14;24.0;36.0;31;13;13.0;12.0
12;25;25.165920969386264;40.16592096938626;48;3;14.0;15.0
0;14;26.0;32.0;32;4;5.0;6.0
16;16;27.0;50.0;35;1;22.0;23.0
19;16;27.0;40.0;36;13;13.0;13.0
15;16;27.0;56.0;38;4;28.0;29.0
5;17;27.0;54.0;39;22;28.0;27.0
7;17;27.427753216588776;32.427753216588776;40;14;4.0;5.0
9;21;28.0;38.0;42;29;10.0;10.0
2;23;30.542764617635225;39.54276461763523;43;10;10.0;9.000000000000004
0;32;32.0;53.0;58;14;22.0;21.0
7;23;32.427753216588776;56.427753216588776;44;2;20.0;24.0
10;23;33.0;52.0;45;9;19.0;19.0
13;23;33.79955137664392;52.79955137664392;46;6;18.0;19.0
14;34;34.0;55.0;73;16;20.0;21.0
18;34;36.0;56.0;75;4;22.0;20.0
4;34;37.0;46.0;72;23;5.0;9.0
1;37;37.66824316764347;49.66824316764347;79;19;14.0;12.0
9;34;38.0;58.0;69;25;18.0;20.0
8;34;38.0;70.0;60;10;28.0;32.0
2;39;39.54276461763523;62.54276461763523;84;1;21.0;23.0
19;34;40.0;50.0;76;9;11.0;10.0
3;37;40.0;44.0;80;26;1.0;4.0
12;23;40.16592096938626;68.16592096938626;47;19;28.0;28.0
3;42;44.0;50.0;87;22;5.0;6.0
4;25;46.0;73.0;49;21;26.0;27.0
6;27;48.531548360821354;53.531548360821354;50;9;5.0;5.0
17;49;49.48084402637834;59.48084402637834;106;9;14.0;10.0
1;49;49.66824316764347;60.66824316764347;108;11;11.0;11.0
16;50;50.0;57.0;112;27;8.0;7.0
3;50;50.0;65.0;111;16;13.0;15.0
11;49;50.75985702624032;60.75985702624032;100;17;10.0;10.0
10;49;52.0;54.0;102;24;1.0;2.0
13;51;52.79955137664392;69.79955137664392;114;13;14.0;17.0
6;27;53.531548360821354;57.531548360821354;52;13;6.0;4.0
10;28;54.0;80.0;53;11;26.0;26.0
14;29;55.0;69.0;55;23;13.0;14.0
18;29;56.0;72.0;57;2;15.0;16.0
15;34;56.0;63.0;62;25;8.0;7.0
16;34;57.0;78.0;63;18;22.0;21.0
6;34;57.531548360821354;63.531548360821354;64;13;6.0;6.0
9;34;58.0;72.0;67;4;16.0;14.0
17;59;59.48084402637834;79.48084402637835;125;8;20.0;20.000000000000007
1;34;60.66824316764347;86.66824316764347;68;4;25.0;26.0
11;34;60.75985702624032;77.75985702624033;70;0;18.0;17.000000000000007
5;61;61.08237254513007;78.08237254513007;128;15;17.0;17.0
2;34;62.54276461763523;81.54276461763523;74;20;20.0;19.0
15;63;63.0;75.0;130;7;11.0;12.0
6;63;63.531548360821354;69.53154836082135;129;13;6.0;5.999999999999993
3;64;65.0;91.0;131;7;25.0;26.0
0;67;67.12254066868053;92.12254066868053;136;24;26.0;25.0
12;67;68.16592096938626;70.16592096938626;135;15;1.0;2.0
14;36;69.0;100.0;78;11;29.0;31.0
6;37;69.53154836082135;79.53154836082135;82;16;9.0;10.0
13;42;69.79955137664392;75.79955137664392;89;0;6.0;6.0
8;42;70.0;72.0;90;23;3.0;2.0
12;42;70.16592096938626;79.16592096938626;91;13;9.0;9.0
9;71;72.0;98.0;145;20;25.0;26.0
18;71;72.0;87.0;146;10;14.0;15.0
8;42;72.0;78.0;92;14;7.0;6.0
4;42;73.0;89.0;93;2;17.0;16.0
7;47;74.6473020152853;88.6473020152853;96;18;13.0;14.0
15;47;75.0;89.0;97;3;14.0;14.0
13;49;75.79955137664392;79.79955137664392;98;3;3.0;4.0
11;76;77.75985702624033;89.75985702624033;157;17;10.0;12.0
16;78;78.0;96.0;160;20;18.0;18.0
8;78;78.0;108.0;161;10;28.0;30.0
5;49;78.08237254513007;92.08237254513007;105;10;15.0;14.0
12;49;79.16592096938626;81.16592096938626;107;15;1.0;2.0
17;50;79.48084402637835;103.48084402637835;110;23;24.0;24.0
6;52;79.53154836082135;87.53154836082135;115;1;10.0;8.0
13;52;79.79955137664392;107.79955137664392;116;8;28.0;28.0
10;80;80.0;99.0;164;3;18.0;19.0
12;81;81.16592096938626;83.16592096938626;175;22;4.0;2.0
2;80;81.54276461763523;110.54276461763523;162;9;29.0;29.0
12;83;83.16592096938626;97.16592096938626;185;23;14.0;14.0
1;83;86.66824316764347;107.66824316764347;184;20;22.0;21.0
18;83;87.0;99.0;183;21;12.0;12.0
6;81;87.53154836082135;96.53154836082135;169;4;9.0;9.0
7;88;88.6473020152853;105.6473020152853;191;13;18.0;17.0
15;89;89.0;114.0;192;23;26.0;25.0
4;81;89.0;97.0;174;26;6.0;8.0
11;54;89.75985702624033;98.75985702624033;117;20;9.0;9.0
