server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
1;1;1.0;15.0;0;18;13.0;14.0
2;3;3.0;11.0;1;0;8.0;8.0
3;3;3.0;20.0;3;12;20.0;17.0
4;3;3.0;23.0;5;2;20.0;20.0
5;3;3.0;15.0;4;26;12.0;12.0
6;3;3.0;17.0;6;6;16.0;14.0
7;3;3.0;26.0;2;18;24.0;23.0
8;3;3.0;19.0;8;3;16.0;16.0
9;7;7.0;17.0;12;28;5.0;10.0
17;7;7.0;26.0;10;2;23.0;19.0
11;7;7.0;24.0;13;7;19.0;17.0
12;7;7.0;9.0;11;1;3.0;2.0
14;7;7.0;13.0;9;21;6.0;6.0
15;9;9.0;23.0;15;0;15.0;14.0
12;9;9.0;12.0;14;2;4.0;3.0
2;10;11.0;38.0;17;18;28.0;27.0
12;12;12.0;17.0;21;2;4.0;5.0
14;12;13.0;33.0;22;28;20.0;20.0
0;12;13.515787464831877;18.515787464831877;20;26;4.0;5.0
5;12;15.0;25.0;23;6;9.0;10.0
1;15;15.0;25.0;24;6;11.0;10.0
9;16;17.0;41.0;26;1;22.0;24.0
12;10;17.0;27.0;18;21;11.0;10.0
6;10;17.0;28.0;19;8;10.0;11.0
10;21;21.0;22.0;28;10;1.0;1.0
13;21;21.0;43.0;27;11;21.0;22.0
18;22;22.0;45.0;29;20;25.0;23.0
19;22;22.0;49.0;30;3;27.0;27.0
10;24;24.0;30.0;33;25;11.0;6.0
0;24;24.0;28.0;32;23;4.0;4.0
15;24;24.0;33.0;31;10;8.0;9.0
16;27;27.0;54.0;36;29;27.0;27.0
8;27;27.0;44.0;35;25;16.0;17.0
3;27;27.0;47.0;37;22;20.0;20.0
11;27;27.0;35.0;38;23;8.0;8.0
0;29;29.0;33.0;39;13;3.0;4.0
17;29;29.0;51.0;40;2;23.0;22.0
4;29;29.0;34.0;41;10;6.0;5.0
10;30;30.0;37.0;46;15;8.0;7.0
12;30;30.0;54.0;51;17;25.0;24.0
7;30;30.0;39.0;50;19;10.0;9.0
1;30;30.0;37.0;48;26;11.0;7.0
6;30;30.0;55.0;54;26;24.0;25.0
0;31;33.0;60.0;57;11;22.0;27.0
15;31;33.0;54.0;56;23;19.0;21.0
14;30;33.0;48.0;42;29;15.0;15.0
4;30;34.0;42.0;44;28;8.0;8.0
11;30;35.0;53.0;52;13;19.0;18.0
10;36;37.0;52.0;62;23;15.0;15.0
1;36;37.0;44.0;64;25;7.0;7.0
2;38;38.0;46.0;71;29;7.0;8.0
7;38;39.0;47.0;68;25;8.0;8.0
9;40;41.0;60.0;74;21;18.0;19.0
5;40;41.34426654169506;59.34426654169506;75;19;18.0;18.0
