server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;1;1.0;11.0;1;18;10.0;10.0
1;1;1.0;13.0;0;23;13.0;12.0
2;2;2.0;5.0;3;15;2.0;3.0
3;2;2.0;24.0;2;5;22.0;22.0
4;7;7.0;14.0;5;18;8.0;7.0
5;7;7.0;11.0;6;2;4.0;4.0
7;7;7.0;29.0;4;13;23.0;22.0
9;8;8.0;25.0;7;28;18.0;17.0
10;9;9.0;20.0;8;9;13.0;11.0
13;10;10.0;38.0;9;27;29.0;28.0
16;10;10.0;27.0;10;24;17.0;17.0
11;11;11.0;27.0;12;10;19.0;16.0
14;11;11.0;29.0;11;0;19.0;18.0
17;12;12.0;33.0;17;3;21.0;21.0
19;12;12.0;21.0;19;8;10.0;9.0
2;12;12.0;25.0;13;16;12.0;13.0
5;12;12.0;20.0;15;16;8.0;8.0
0;12;12.0;30.0;16;1;16.0;18.0
6;12;12.36377035077334;26.36377035077334;18;19;17.0;14.0
1;12;13.0;33.0;20;26;18.0;20.0
4;12;14.0;28.0;21;23;14.0;14.0
18;12;19.417822451197452;36.41782245119745;22;15;16.0;17.0
10;12;20.0;31.0;25;27;12.0;11.0
5;12;20.0;21.0;27;26;1.0;1.0
12;14;20.11037883210154;31.11037883210154;28;17;10.0;11.0
19;16;21.0;38.0;29;25;17.0;17.0
5;16;21.0;28.0;30;16;8.0;7.0
15;16;21.026816454758077;38.02681645475808;31;17;17.0;17.0
8;19;21.834457632004245;37.834457632004245;32;26;17.0;16.0
3;23;24.0;50.0;39;9;26.0;26.0
2;25;25.0;49.0;45;24;23.0;24.0
9;21;25.0;49.0;33;24;25.0;24.0
6;21;26.36377035077334;34.363770350773336;34;3;6.0;7.9999999999999964
11;23;27.0;33.0;36;15;5.0;6.0
16;23;27.0;45.0;37;7;20.0;18.0
5;28;28.0;38.0;51;6;11.0;10.0
4;23;28.0;56.0;38;25;28.0;28.0
14;23;29.0;34.0;40;19;6.0;5.0
7;23;29.0;30.0;41;20;2.0;1.0
7;25;30.0;33.0;43;4;4.0;3.0
0;25;30.0;53.0;44;27;22.0;23.0
10;26;31.0;52.0;46;21;22.0;21.0
12;26;31.11037883210154;57.11037883210154;47;20;28.0;26.0
17;26;33.0;44.0;48;15;11.0;11.0
11;27;33.0;52.0;49;20;20.0;19.0
7;27;33.0;37.0;50;4;4.0;4.0
1;28;33.0;38.0;53;22;3.0;5.0
14;34;34.0;42.0;64;8;5.0;8.0
6;28;34.363770350773336;36.363770350773336;54;23;1.0;2.0
6;35;36.363770350773336;48.363770350773336;68;0;12.0;12.0
18;28;36.41782245119745;41.41782245119745;55;4;5.0;5.0
7;28;37.0;58.0;56;9;23.0;21.0
8;30;37.834457632004245;70.83445763200424;57;7;29.0;33.0
19;38;38.0;41.0;74;12;1.0;3.0
13;32;38.0;46.0;58;6;8.0;8.0
5;32;38.0;40.0;59;11;2.0;2.0
1;34;38.0;66.0;61;14;27.0;28.0
15;34;38.02681645475808;53.02681645475808;62;7;14.0;15.0
5;34;40.0;54.0;65;25;17.0;14.0
19;34;41.0;56.0;66;27;15.0;15.0
18;34;41.41782245119745;69.41782245119745;67;20;28.0;28.0
14;36;42.0;61.0;71;0;19.0;19.0
17;43;44.0;63.0;78;25;20.0;19.0
16;36;45.0;66.0;72;7;20.0;21.0
13;38;46.0;73.0;73;4;28.0;27.0
6;47;48.363770350773336;75.36377035077334;79;4;27.0;27.0
2;49;49.0;70.0;86;4;21.0;21.0
9;49;49.0;74.0;94;14;27.0;25.0
3;49;50.0;53.0;96;4;3.0;3.0
11;52;52.0;74.0;104;19;20.0;22.0
10;52;52.0;67.0;105;14;15.0;15.0
0;47;53.0;80.0;84;7;27.0;27.0
3;53;53.0;72.0;107;26;18.0;19.0
15;39;53.02681645475808;68.02681645475808;75;7;14.0;15.0
5;39;54.0;74.0;76;27;18.0;20.0
19;43;56.0;60.0;77;20;6.0;4.0
4;47;56.0;65.0;80;13;8.0;9.0
12;47;57.11037883210154;61.11037883210154;81;1;5.0;4.0
7;58;58.0;67.0;110;24;14.0;9.0
19;47;60.0;85.0;82;10;25.0;25.0
14;47;61.0;71.0;83;27;10.0;10.0
12;49;61.11037883210154;65.11037883210153;87;23;3.0;3.999999999999993
