server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
1;2;2.0;30.0;1;26;27.0;28.0
2;2;2.0;25.0;0;25;23.0;23.0
3;4;4.0;20.0;2;8;18.0;16.0
4;6;6.0;21.0;5;12;15.0;15.0
6;6;6.0;20.0;3;4;14.0;14.0
8;6;6.0;9.0;4;16;3.0;3.0
10;6;6.0;27.0;6;6;22.0;21.0
18;7;7.0;31.0;8;27;24.0;24.0
13;7;7.0;20.0;7;16;10.0;13.0
15;9;9.0;37.0;12;14;28.0;28.0
8;9;9.0;17.0;13;25;9.0;8.0
0;9;9.428927397372409;31.42892739737241;11;17;22.0;22.0
12;9;10.023704027247545;20.023704027247547;10;9;11.0;10.000000000000002
19;12;12.406885989958178;18.406885989958177;19;23;7.0;5.999999999999998
9;10;13.063266688793767;33.06326668879377;16;6;19.0;20.0
7;9;15.375828511321776;25.375828511321778;9;27;8.0;10.000000000000002
11;15;15.449983353441228;31.449983353441226;27;21;15.0;15.999999999999998
16;16;16.121247240070822;37.12124724007082;31;8;18.0;21.0
8;15;17.0;36.0;25;4;18.0;19.0
19;15;18.406885989958177;42.40688598995818;24;13;23.0;24.0
17;12;18.411365605078593;24.411365605078593;17;9;6.0;6.0
13;20;20.0;25.0;35;28;2.0;5.0
6;20;20.0;23.0;36;14;5.0;3.0
3;14;20.0;39.0;20;8;18.0;19.0
12;14;20.023704027247547;21.023704027247547;21;20;2.0;1.0
12;21;21.023704027247547;40.02370402724755;40;1;18.0;19.0
14;21;21.732528395366835;39.732528395366835;43;28;18.0;18.0
6;14;23.0;33.0;23;20;14.0;10.0
5;15;23.89635293971274;30.89635293971274;26;9;7.0;7.0
17;15;24.411365605078593;29.411365605078593;28;28;1.0;5.0
13;16;25.0;27.0;30;28;2.0;2.0
2;17;25.0;53.0;33;12;28.0;28.0
7;17;25.375828511321778;42.37582851132178;34;23;16.0;17.0
13;21;27.0;32.0;37;9;5.0;5.0
10;21;27.0;53.0;38;17;25.0;26.0
17;21;29.411365605078593;56.41136560507859;39;25;27.0;27.0
1;30;30.0;52.0;49;17;21.0;22.0
5;21;30.89635293971274;44.89635293971274;41;5;11.0;14.0
18;24;31.0;42.0;44;10;9.0;11.0
0;24;31.42892739737241;35.428927397372405;45;16;7.0;3.9999999999999964
11;24;31.449983353441226;51.449983353441226;46;22;18.0;20.0
13;32;32.0;41.0;52;16;10.0;9.0
6;26;33.0;41.0;47;2;7.0;8.0
9;32;33.06326668879377;58.06326668879377;51;1;25.0;25.0
0;35;35.428927397372405;43.428927397372405;53;21;8.0;8.0
8;35;36.0;51.0;54;23;15.0;15.0
15;35;37.0;62.0;55;20;25.0;25.0
4;36;37.090318068570866;57.090318068570866;56;3;20.0;20.0
16;10;37.12124724007082;52.12124724007082;14;7;17.0;15.0
3;38;39.0;48.0;57;5;10.0;9.0
14;38;39.732528395366835;50.732528395366835;58;17;13.0;11.0
12;38;40.02370402724755;58.02370402724755;59;3;20.0;18.0
13;40;41.0;54.0;60;0;16.0;13.0
6;40;41.0;57.0;61;17;17.0;16.0
7;40;42.37582851132178;50.37582851132178;62;9;7.0;8.0
19;40;42.40688598995818;58.40688598995818;64;3;15.0;16.0
0;40;43.428927397372405;70.4289273973724;63;3;28.0;27.0
5;41;44.89635293971274;65.89635293971274;65;25;20.0;21.0
3;48;48.0;55.0;78;22;7.0;7.0
7;48;50.37582851132178;57.37582851132178;74;11;6.0;7.0
14;41;50.732528395366835;61.732528395366835;66;23;10.0;11.0
8;51;51.0;54.0;81;22;4.0;3.0
11;43;51.449983353441226;56.449983353441226;67;20;4.0;5.0
1;43;52.0;76.0;69;11;24.0;24.0
16;44;52.12124724007082;75.12124724007083;70;13;21.0;23.000000000000007
10;53;53.0;67.0;84;15;13.0;14.0
2;44;53.0;62.0;71;6;7.0;9.0
13;46;54.0;78.0;72;26;22.0;24.0
8;46;54.0;55.0;73;21;1.0;1.0
8;48;55.0;58.0;75;24;1.0;3.0
3;48;55.0;76.0;76;14;21.0;21.0
17;56;56.41136560507859;80.4113656050786;95;2;24.0;24.000000000000007
11;50;56.449983353441226;73.44998335344123;79;24;17.0;17.0
6;51;57.0;81.0;80;22;23.0;24.0
4;53;57.090318068570866;59.090318068570866;82;0;3.0;2.0
7;53;57.37582851132178;62.37582851132178;83;11;6.0;5.0
8;53;58.0;59.0;86;17;2.0;1.0
12;53;58.02370402724755;80.02370402724755;87;17;24.0;22.0
9;53;58.06326668879377;63.06326668879377;88;25;6.0;5.0
19;53;58.40688598995818;59.40688598995818;89;25;3.0;1.0
8;53;59.0;74.0;91;23;15.0;15.0
4;55;59.090318068570866;76.09031806857087;92;2;19.0;17.0
19;56;59.40688598995818;76.40688598995817;94;12;16.0;16.999999999999993
14;59;61.732528395366835;74.73252839536684;97;0;12.0;13.000000000000007
15;61;62.0;89.0;98;10;29.0;27.0
2;61;62.0;84.0;99;7;22.0;22.0
7;62;62.37582851132178;70.37582851132177;100;27;8.0;7.999999999999993
18;10;62.644186125074;82.644186125074;15;20;20.0;20.0
9;63;63.06326668879377;69.06326668879376;102;25;6.0;5.999999999999993
5;63;65.89635293971274;66.89635293971274;101;0;3.0;1.0
5;43;66.89635293971274;87.89635293971274;68;7;21.0;21.0
10;67;67.0;88.0;104;18;23.0;21.0
9;69;69.06326668879376;73.06326668879376;112;27;6.0;4.0
7;69;70.37582851132177;85.37582851132177;107;23;16.0;15.0
0;69;70.4289273973724;81.4289273973724;110;23;11.0;11.0
9;67;73.06326668879376;91.06326668879376;106;13;16.0;18.0
11;67;73.44998335344123;75.44998335344123;105;11;2.0;2.0
8;69;74.0;83.0;109;15;9.0;9.0
14;69;74.73252839536684;91.73252839536684;111;14;19.0;17.0
16;75;75.12124724007083;99.12124724007083;118;1;24.0;24.0
11;71;75.44998335344123;89.44998335344123;114;5;12.0;14.0
3;71;76.0;100.0;115;16;25.0;24.0
1;72;76.0;98.0;116;6;23.0;22.0
4;63;76.09031806857087;100.09031806857087;103;24;26.0;24.0
19;72;76.40688598995817;83.40688598995817;117;25;3.0;7.0
13;78;78.0;97.0;121;0;16.0;19.0
12;78;80.02370402724755;98.02370402724755;119;26;18.0;18.0
17;78;80.4113656050786;85.4113656050786;120;8;5.0;5.0
6;79;81.0;105.0;124;22;23.0;24.0
0;79;81.4289273973724;91.4289273973724;125;20;9.0;10.0
18;79;82.644186125074;104.644186125074;126;26;22.0;22.0
8;81;83.0;113.0;127;20;29.0;30.0
19;81;83.40688598995817;109.40688598995817;128;6;26.0;26.0
2;81;84.0;111.0;129;9;27.0;27.0
7;85;85.37582851132177;93.37582851132177;139;9;7.0;8.0
17;85;85.4113656050786;112.4113656050786;133;25;27.0;27.0
5;86;87.89635293971274;92.89635293971274;141;20;5.0;5.0
10;88;88.0;92.0;147;29;4.0;4.0
15;86;89.0;103.0;140;24;14.0;14.0
11;87;89.44998335344123;99.44998335344123;145;12;11.0;10.0
9;91;91.06326668879376;104.06326668879376;153;29;9.0;13.0
0;87;91.4289273973724;93.4289273973724;144;13;1.0;2.0
14;82;91.73252839536684;103.73252839536684;130;26;12.0;12.0
10;82;92.0;105.0;131;4;12.0;13.0
5;82;92.89635293971274;105.89635293971274;132;23;12.0;13.0
7;85;93.37582851132177;105.37582851132177;136;7;11.0;12.0
0;85;93.4289273973724;120.4289273973724;137;3;28.0;27.0
13;95;97.0;103.0;158;11;4.0;6.0
1;97;98.0;109.0;161;18;11.0;11.0
12;85;98.02370402724755;108.02370402724755;138;15;9.0;10.0
16;86;99.12124724007083;120.12124724007083;142;16;20.0;21.0
11;87;99.44998335344123;119.44998335344123;143;23;20.0;20.0
3;88;100.0;117.0;146;27;14.0;17.0
4;89;100.09031806857087;127.09031806857087;148;20;26.0;27.0
15;101;103.0;106.0;166;12;3.0;3.0
13;101;103.0;107.0;171;13;3.0;4.0
14;89;103.73252839536684;127.73252839536684;149;19;23.0;24.0
9;90;104.06326668879376;109.06326668879376;150;15;4.0;5.0
18;90;104.644186125074;110.644186125074;151;16;7.0;6.0
10;90;105.0;123.0;152;23;15.0;18.0
6;91;105.0;130.0;154;23;25.0;25.0
7;94;105.37582851132177;118.37582851132177;155;7;11.0;13.0
5;94;105.89635293971274;115.89635293971274;156;26;11.0;10.0
15;106;106.0;118.0;174;23;12.0;12.0
13;94;107.0;128.0;157;12;20.0;21.0
12;97;108.02370402724755;138.02370402724756;159;28;27.0;30.000000000000014
1;109;109.0;114.0;179;4;5.0;5.0
9;97;109.06326668879376;118.06326668879376;160;3;8.0;9.0
19;101;109.40688598995817;118.40688598995817;162;20;9.0;9.0
18;101;110.644186125074;111.644186125074;163;29;2.0;1.0
2;111;111.0;120.0;182;3;10.0;9.0
18;101;111.644186125074;130.644186125074;164;20;20.0;18.999999999999986
17;101;112.4113656050786;126.4113656050786;165;29;14.0;14.0
8;101;113.0;119.0;168;0;7.0;6.0
1;101;114.0;137.0;170;8;24.0;23.0
5;115;115.89635293971274;128.89635293971276;185;23;12.0;13.000000000000014
3;106;117.0;120.0;173;10;3.0;3.0
15;118;118.0;123.0;193;2;5.0;5.0
9;118;118.06326668879376;146.06326668879376;190;8;25.0;28.0
7;108;118.37582851132177;147.37582851132177;175;17;26.0;29.0
19;109;118.40688598995817;121.40688598995817;176;27;3.0;3.0
8;119;119.0;144.0;209;19;25.0;25.0
11;119;119.44998335344123;148.4499833534412;204;0;28.0;28.999999999999986
3;119;120.0;126.0;207;22;7.0;6.0
2;109;120.0;129.0;177;27;8.0;9.0
16;109;120.12124724007083;140.12124724007083;178;18;17.0;20.0
0;113;120.4289273973724;142.4289273973724;183;29;21.0;22.0
19;113;121.40688598995817;139.40688598995817;184;24;17.0;18.0
15;123;123.0;129.0;214;2;5.0;6.0
10;115;123.0;149.0;186;1;24.0;26.0
3;126;126.0;146.0;220;8;18.0;20.0
17;126;126.4113656050786;130.4113656050786;217;28;1.0;4.0
4;115;127.09031806857087;137.09031806857087;187;6;10.0;10.0
14;115;127.73252839536684;144.73252839536684;188;18;19.0;17.0
13;118;128.0;143.0;189;3;15.0;15.0
5;118;128.89635293971276;149.89635293971276;191;21;19.0;21.0
15;118;129.0;142.0;192;21;11.0;13.0
2;118;129.0;157.0;194;12;28.0;28.0
6;119;130.0;143.0;195;20;14.0;13.0
17;119;130.4113656050786;157.4113656050786;196;25;27.0;27.0
18;119;130.644186125074;140.644186125074;197;17;9.0;10.0
1;136;137.0;165.0;242;14;28.0;28.0
4;133;137.09031806857087;150.09031806857087;234;23;12.0;13.0
12;134;138.02370402724756;164.02370402724756;235;25;28.0;26.0
19;138;139.40688598995817;149.40688598995817;249;19;11.0;10.0
16;136;140.12124724007083;150.12124724007083;240;10;9.0;10.0
18;119;140.644186125074;151.644186125074;198;19;11.0;11.0
0;119;142.4289273973724;148.4289273973724;201;28;5.0;6.0
13;122;143.0;157.0;210;3;15.0;14.0
6;122;143.0;157.0;212;4;14.0;14.0
8;123;144.0;176.0;216;20;29.0;32.0
14;126;144.73252839536684;170.73252839536684;218;25;25.0;26.0
3;127;146.0;148.0;221;10;3.0;2.0
9;128;146.06326668879376;156.06326668879376;223;10;10.0;10.0
7;128;147.37582851132177;172.37582851132177;224;5;26.0;25.0
3;128;148.0;175.0;225;28;26.0;27.0
0;128;148.4289273973724;174.4289273973724;226;11;26.0;26.0
11;131;148.4499833534412;152.4499833534412;229;11;2.0;4.0
10;131;149.0;165.0;230;20;18.0;16.0
19;131;149.40688598995817;172.40688598995817;231;13;23.0;23.0
5;131;149.89635293971276;162.89635293971276;232;24;12.0;13.0
4;131;150.09031806857087;164.09031806857087;233;10;11.0;14.0
16;134;150.12124724007083;151.12124724007083;236;12;1.0;1.0
15;134;150.904276899294;159.904276899294;238;4;10.0;9.0
16;151;151.12124724007083;167.12124724007083;262;26;19.0;16.0
18;151;151.644186125074;157.644186125074;263;18;4.0;6.0
11;134;152.4499833534412;156.4499833534412;239;11;2.0;4.0
9;153;156.06326668879376;168.06326668879376;267;11;15.0;12.0
11;136;156.4499833534412;173.4499833534412;241;24;17.0;17.0
13;136;157.0;179.0;243;1;22.0;22.0
6;138;157.0;180.0;245;22;23.0;23.0
2;138;157.0;160.0;246;1;3.0;3.0
17;138;157.4113656050786;180.4113656050786;247;22;22.0;23.0
18;138;157.644186125074;171.644186125074;250;21;17.0;14.0
15;159;159.904276899294;169.904276899294;279;4;10.0;10.0
2;140;160.0;187.0;251;16;29.0;27.0
