server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;1;1.0;11.0;0;6;10.0;10.0
2;1;1.0;16.0;2;27;14.0;15.0
3;1;1.0;5.0;3;9;6.0;4.0
4;1;1.0;16.0;4;2;14.0;15.0
6;1;1.0;13.0;1;5;13.0;12.0
7;4;4.0;6.0;5;20;4.0;2.0
8;4;4.0;16.0;7;15;12.0;12.0
9;4;4.0;30.0;6;0;24.0;26.0
10;5;5.0;8.0;11;24;2.0;3.0
11;5;5.0;10.0;12;5;5.0;5.0
12;5;5.0;34.0;13;0;25.0;29.0
13;5;5.0;16.0;14;24;11.0;11.0
14;5;5.0;8.0;8;19;5.0;3.0
16;5;5.0;11.0;10;17;4.0;6.0
17;5;5.0;34.0;9;11;29.0;29.0
19;6;6.0;17.0;15;9;9.0;11.0
7;7;7.0;17.0;16;12;11.0;10.0
3;7;7.0;13.0;17;3;8.0;6.0
10;8;8.0;22.0;20;27;15.0;14.0
14;8;8.0;33.0;23;21;24.0;25.0
18;7;8.516612156721557;24.516612156721557;18;23;16.0;16.0
11;8;10.0;29.0;21;11;19.0;19.0
16;11;11.0;21.0;24;11;10.0;10.0
0;11;11.0;30.0;25;8;22.0;19.0
15;8;11.299493338850112;30.299493338850112;22;28;20.0;19.0
3;12;13.0;16.0;26;16;2.0;3.0
6;13;13.0;18.0;28;21;5.0;5.0
13;14;16.0;32.0;30;29;16.0;16.0
8;14;16.0;42.0;32;5;22.0;26.0
3;14;16.0;26.0;29;3;8.0;10.0
2;14;16.0;18.0;31;23;1.0;2.0
4;13;16.0;45.0;27;18;28.0;29.0
19;18;18.0;19.0;34;24;1.0;1.0
7;18;18.0;23.0;33;26;3.0;5.0
1;20;20.0;32.0;35;11;8.0;12.0
5;24;24.0;41.0;38;4;17.0;17.0
19;24;24.0;45.0;39;22;21.0;21.0
16;24;24.0;35.0;40;5;10.0;11.0
2;24;24.0;26.0;36;12;1.0;2.0
10;24;24.0;35.0;37;18;12.0;11.0
6;24;24.0;25.0;41;12;1.0;1.0
18;26;26.0;57.0;43;5;29.0;31.0
7;26;26.0;46.0;44;10;19.0;20.0
6;26;26.0;42.0;45;23;17.0;16.0
2;27;27.0;36.0;46;11;8.0;9.0
3;28;28.0;40.0;47;20;14.0;12.0
11;29;29.0;33.0;48;26;4.0;4.0
1;32;32.0;52.0;50;21;22.0;20.0
15;32;32.0;47.0;51;1;12.0;15.0
9;32;32.0;55.0;49;11;23.0;23.0
13;35;35.0;42.0;52;3;6.0;7.0
16;35;35.0;36.0;53;8;2.0;1.0
10;35;35.0;58.0;54;5;21.0;23.0
2;36;36.0;41.0;56;16;5.0;5.0
11;36;36.0;51.0;57;8;16.0;15.0
14;37;37.0;45.0;58;5;8.0;8.0
16;37;37.0;41.0;59;28;3.0;4.0
0;38;38.0;59.0;63;1;20.0;21.0
17;38;38.0;62.0;64;26;25.0;24.0
12;38;38.0;61.0;65;23;19.0;23.0
3;38;40.0;47.0;67;3;8.0;7.0
5;38;41.0;48.0;61;0;11.0;7.0
16;38;41.0;45.0;62;29;3.0;4.0
2;38;41.0;65.0;66;8;26.0;24.0
13;44;44.0;66.0;69;2;22.0;22.0
6;44;44.0;52.0;71;3;9.0;8.0
8;44;44.0;50.0;72;21;6.0;6.0
19;44;45.0;71.0;73;5;25.0;26.0
16;44;45.0;63.0;74;6;18.0;18.0
14;44;45.0;72.0;75;0;27.0;27.0
4;44;45.0;63.0;76;28;19.0;18.0
7;44;46.0;70.0;70;15;26.0;24.0
15;46;47.0;55.0;90;18;10.0;8.0
3;47;47.0;53.0;98;7;6.0;6.0
5;46;48.0;56.0;88;25;8.0;8.0
8;44;50.0;74.0;68;11;24.0;24.0
11;44;51.0;52.0;77;19;1.0;1.0
1;52;52.0;65.0;117;5;11.0;13.0
6;47;52.0;64.0;100;16;13.0;12.0
11;52;52.0;82.0;119;21;29.0;30.0
3;52;53.0;57.0;114;12;6.0;4.0
15;55;55.0;84.0;130;22;28.0;29.0
9;52;55.0;72.0;108;17;19.0;17.0
5;56;56.0;71.0;135;17;19.0;15.0
18;44;57.0;65.0;83;12;8.0;8.0
3;55;57.0;68.0;126;6;11.0;11.0
10;52;58.0;87.0;104;16;28.0;29.0
0;46;59.0;84.0;94;13;24.0;25.0
12;60;61.0;76.0;146;4;16.0;15.0
17;59;62.0;71.0;141;22;8.0;9.0
16;52;63.0;69.0;118;7;5.0;6.0
4;55;63.0;71.0;131;7;6.0;8.0
6;55;64.0;68.0;127;21;5.0;4.0
1;65;65.0;72.0;151;28;6.0;7.0
18;58;65.0;73.0;139;12;8.0;8.0
13;66;66.0;87.0;154;17;24.0;21.0
6;66;68.0;86.0;155;19;17.0;18.0
3;44;68.0;99.0;78;15;29.0;31.0
16;44;69.0;79.0;79;21;11.0;10.0
7;70;70.0;81.0;159;5;12.0;11.0
5;71;71.0;72.0;168;9;5.0;1.0
19;71;71.0;91.0;160;0;18.0;20.0
17;71;71.0;83.0;163;16;13.0;12.0
4;71;71.0;74.0;166;22;3.0;3.0
