server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
2;0;0.0;9.0;0;1;10.0;9.0
3;2;2.0;19.0;2;20;18.0;17.0
6;2;2.0;17.0;3;20;15.0;15.0
8;2;2.0;19.0;1;26;17.0;17.0
16;3;3.0;5.0;6;5;3.0;2.0
12;3;3.0;15.0;5;8;11.0;12.0
13;3;3.0;14.0;4;1;11.0;11.0
7;6;6.0;12.0;7;22;5.0;6.0
11;7;7.0;30.0;8;25;22.0;23.0
15;7;7.0;16.0;10;13;10.0;9.0
0;10;10.0;28.0;13;4;18.0;18.0
16;10;10.0;17.0;11;24;9.0;7.0
2;10;10.0;16.0;12;2;5.0;6.0
19;7;10.0366144267593;30.0366144267593;9;15;19.0;20.0
5;10;11.707183197576914;18.707183197576914;14;14;4.0;7.0
7;13;13.0;35.0;15;12;22.0;22.0
18;14;14.0;23.0;17;17;12.0;9.0
4;14;14.0;35.0;16;18;23.0;21.0
13;14;14.0;21.0;19;18;7.0;7.0
12;14;15.0;32.0;18;3;17.0;17.0
1;16;16.0;17.0;20;21;3.0;1.0
9;16;16.0;21.0;22;10;5.0;5.0
15;16;16.0;36.0;21;8;21.0;20.0
1;18;18.0;34.0;23;23;15.0;16.0
16;18;18.0;31.0;24;20;14.0;13.0
5;19;19.0;20.0;27;23;1.0;1.0
2;19;19.0;20.0;28;7;4.0;1.0
6;19;19.0;46.0;25;24;29.0;27.0
8;19;19.0;45.0;26;8;27.0;26.0
10;21;21.0;26.0;31;14;5.0;5.0
14;21;21.0;32.0;32;4;6.0;11.0
9;21;21.0;42.0;29;12;21.0;21.0
5;21;21.0;46.0;30;27;24.0;25.0
2;22;22.0;28.0;33;28;6.0;6.0
3;22;22.0;46.0;34;1;24.0;24.0
17;22;22.776364131173416;54.776364131173416;35;19;28.0;32.0
18;24;24.0;50.0;40;22;24.0;26.0
10;26;26.0;48.0;43;15;22.0;22.0
0;28;28.0;50.0;44;26;24.0;22.0
2;26;28.0;29.0;42;23;1.0;1.0
2;29;29.0;32.0;49;6;3.0;3.0
11;29;30.0;32.0;46;2;1.0;2.0
19;30;30.0366144267593;33.0366144267593;55;0;4.0;3.0
16;29;31.0;35.0;47;22;2.0;4.0
14;32;32.0;40.0;57;29;9.0;8.0
11;32;32.0;40.0;58;12;8.0;8.0
2;30;32.0;57.0;54;3;26.0;25.0
12;30;32.0;35.0;53;25;4.0;3.0
13;31;32.255961758572965;35.255961758572965;56;17;3.0;3.0
19;24;33.0366144267593;38.0366144267593;36;7;4.0;5.0
1;24;34.0;39.0;41;7;1.0;5.0
4;35;35.0;59.0;61;24;24.0;24.0
16;35;35.0;57.0;62;16;21.0;22.0
7;29;35.0;38.0;52;16;3.0;3.0
12;33;35.0;36.0;59;26;2.0;1.0
13;29;35.255961758572965;41.255961758572965;48;18;7.0;6.0
