server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;1;1.0;9.0;1;27;8.0;8.0
1;1;1.0;20.0;0;28;22.0;19.0
2;1;1.0;15.0;2;28;14.0;14.0
3;2;2.0;9.0;3;13;9.0;7.0
4;2;2.0;18.0;4;23;15.0;16.0
5;4;4.0;11.0;5;13;7.0;7.0
7;4;4.0;13.0;6;24;9.0;9.0
8;9;9.0;14.0;7;17;6.0;5.0
9;9;9.0;19.0;8;13;8.0;10.0
10;10;10.0;12.0;11;20;1.0;2.0
13;10;10.0;33.0;9;19;26.0;23.0
14;10;10.0;14.0;10;2;5.0;4.0
12;13;13.0;16.0;12;17;2.0;3.0
16;13;13.0;23.0;14;25;11.0;10.0
17;13;13.0;21.0;16;24;6.0;8.0
18;13;13.0;24.0;17;11;11.0;11.0
19;13;13.0;14.0;13;15;1.0;1.0
10;13;13.0;31.0;15;13;19.0;18.0
19;14;14.0;15.0;19;15;1.0;1.0
14;14;14.0;17.0;22;1;1.0;3.0
8;14;14.0;19.0;18;3;5.0;5.0
3;14;14.0;40.0;21;24;24.0;26.0
5;14;14.0;40.0;20;15;24.0;26.0
15;16;16.0;45.0;27;3;25.0;29.0
19;16;16.0;27.0;24;22;9.0;11.0
12;16;16.0;22.0;25;21;9.0;6.0
0;16;16.0;25.0;26;11;10.0;9.0
7;16;16.0;33.0;23;29;14.0;17.0
14;18;18.0;36.0;28;18;19.0;18.0
2;18;18.0;22.0;31;0;4.0;4.0
4;18;18.0;44.0;30;29;25.0;26.0
8;18;19.0;36.0;32;24;17.0;17.0
6;21;21.0;31.0;38;4;12.0;10.0
11;21;21.0;22.0;42;3;4.0;1.0
17;21;21.0;23.0;41;6;3.0;2.0
9;21;21.0;23.0;33;29;2.0;2.0
1;21;21.0;26.0;39;1;1.0;5.0
11;21;22.0;31.0;34;15;9.0;9.0
12;22;22.0;24.0;46;18;2.0;2.0
2;21;22.0;29.0;36;10;6.0;7.0
16;22;23.0;32.0;48;18;8.0;9.0
17;22;23.0;24.0;47;25;2.0;1.0
9;22;23.0;26.0;44;29;2.0;3.0
17;24;24.0;37.0;51;5;12.0;13.0
18;24;24.0;40.0;50;13;15.0;16.0
12;21;24.0;29.0;37;10;5.0;5.0
0;21;25.0;26.0;35;23;1.0;1.0
9;21;26.0;33.0;40;13;8.0;7.0
0;21;26.0;39.0;43;19;12.0;13.0
1;26;26.0;48.0;52;15;22.0;22.0
19;24;27.0;28.0;49;15;1.0;1.0
19;28;28.0;35.0;54;8;6.0;7.0
12;29;29.0;32.0;58;17;2.0;3.0
2;29;29.0;33.0;57;6;4.0;4.0
11;28;31.0;37.0;53;3;4.0;6.0
6;29;31.0;47.0;56;26;17.0;16.0
16;32;32.0;56.0;59;1;24.0;24.0
12;32;32.0;38.0;63;28;7.0;6.0
10;32;32.0;36.0;60;9;4.0;4.0
9;32;33.0;39.0;62;14;5.0;6.0
13;32;33.0;43.0;61;27;11.0;10.0
7;32;33.0;34.0;64;2;3.0;1.0
7;34;34.0;36.0;67;2;3.0;2.0
2;34;34.0;45.0;65;5;15.0;11.0
19;34;35.0;38.0;68;15;1.0;3.0
10;36;36.0;44.0;71;10;7.0;8.0
14;34;36.0;55.0;69;18;19.0;19.0
8;34;36.0;53.0;66;21;16.0;17.0
7;34;36.0;45.0;70;29;14.0;9.0
11;41;41.0;48.0;72;3;4.0;7.0
17;42;42.0;75.0;73;15;29.0;33.0
19;45;45.0;46.0;76;6;1.0;1.0
12;45;45.0;47.0;75;18;2.0;2.0
18;45;45.0;63.0;77;1;17.0;18.0
9;45;45.0;70.0;74;2;26.0;25.0
19;46;46.0;54.0;81;22;9.0;8.0
15;46;46.0;47.0;78;4;1.0;1.0
0;46;46.0;52.0;79;26;7.0;6.0
10;46;46.0;64.0;80;2;20.0;18.0
6;47;47.0;61.0;83;23;14.0;14.0
12;47;47.0;49.0;82;18;2.0;2.0
15;47;47.0;74.0;84;24;24.0;27.0
3;47;47.0;73.0;85;24;24.0;26.0
11;50;50.0;73.0;86;6;22.0;23.0
12;50;50.0;63.0;87;24;12.0;13.0
5;50;51.0;59.0;88;21;9.0;8.0
13;51;51.0;57.0;92;18;10.0;6.0
2;51;51.0;64.0;91;1;13.0;13.0
4;51;51.0;66.0;89;26;14.0;15.0
1;51;51.0;68.0;90;11;17.0;17.0
19;54;54.0;60.0;94;14;4.0;6.0
0;55;55.0;64.0;96;7;10.0;9.0
8;55;55.0;75.0;95;9;17.0;20.0
14;55;55.0;77.0;97;29;22.0;22.0
16;56;56.0;66.0;101;3;10.0;10.0
13;56;57.0;66.0;99;3;8.0;9.0
7;57;58.16430269449117;77.16430269449117;105;11;20.0;19.0
5;57;59.0;69.0;104;12;11.0;10.0
19;59;60.0;61.0;107;1;1.0;1.0
19;59;61.0;63.0;108;6;1.0;2.0
6;59;61.0;72.0;106;23;14.0;11.0
19;62;63.0;72.0;109;23;9.0;9.0
12;62;63.0;66.0;110;17;2.0;3.0
0;64;64.0;84.0;116;8;21.0;20.0
10;64;64.0;71.0;114;5;7.0;7.0
2;57;64.0;69.0;103;24;4.0;5.0
12;66;66.0;85.0;118;7;19.0;19.0
13;66;66.0;72.0;117;4;5.0;6.0
16;64;66.0;67.0;115;2;2.0;1.0
4;56;66.0;70.0;102;5;4.0;4.0
16;67;67.0;76.0;121;18;8.0;9.0
1;67;68.0;76.0;124;23;8.0;8.0
5;68;69.0;70.0;126;28;1.0;1.0
2;67;69.0;75.0;122;25;7.0;6.0
5;70;70.0;75.0;132;9;7.0;5.0
