server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
1;1;1.0;18.0;0;22;17.0;17.0
2;1;1.0;6.0;2;0;8.0;5.0
5;1;1.0;29.0;1;18;24.0;28.0
7;3;3.0;14.0;3;3;15.0;11.0
8;4;4.0;17.0;5;29;12.0;13.0
10;4;4.0;31.0;4;18;26.0;27.0
11;7;7.0;14.0;7;5;7.0;7.0
14;7;7.0;33.0;6;4;26.0;26.0
3;10;10.0;32.0;8;4;22.0;22.0
15;12;12.0;17.0;9;15;5.0;5.0
13;14;14.0;27.0;11;21;13.0;13.0
16;14;14.0;34.0;15;11;19.0;20.0
17;14;14.0;25.0;10;13;11.0;11.0
18;14;14.0;25.0;20;25;12.0;11.0
19;14;14.0;22.0;12;11;5.0;8.0
11;14;14.0;32.0;13;28;17.0;18.0
7;14;14.0;27.0;19;13;13.0;13.0
15;16;17.0;39.0;21;3;22.0;22.0
8;17;17.0;28.0;22;6;11.0;11.0
1;18;18.0;23.0;23;17;6.0;5.0
6;20;20.23823719710765;36.23823719710765;25;13;12.0;16.0
0;20;20.492971332644156;25.492971332644156;26;20;5.0;5.0
4;20;20.9353179917983;46.9353179917983;24;1;27.0;26.0
19;21;22.0;31.0;27;3;10.0;9.0
1;23;23.0;39.0;29;12;15.0;16.0
12;23;23.669865682796768;29.669865682796768;28;19;4.0;6.0
17;14;25.0;50.0;17;9;24.0;25.0
18;14;25.0;39.0;18;9;13.0;14.0
0;14;25.492971332644156;37.49297133264416;16;17;14.0;12.000000000000004
13;27;27.0;32.0;32;5;6.0;5.0
7;27;27.0;33.0;30;8;7.0;6.0
9;27;27.33097070091857;54.33097070091857;31;3;27.0;27.0
8;28;28.0;44.0;34;23;14.0;16.0
5;29;29.0;47.0;40;17;18.0;18.0
12;28;29.669865682796768;36.66986568279677;35;2;8.0;7.0
19;28;31.0;50.0;39;28;19.0;19.0
10;27;31.0;60.0;33;14;29.0;29.0
13;28;32.0;41.0;38;27;11.0;9.0
3;28;32.0;34.0;36;9;2.0;2.0
