server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
1;2;2.0;3.0;1;29;1.0;1.0
3;2;2.0;22.0;0;21;20.0;20.0
5;4;4.0;22.0;3;3;16.0;18.0
6;4;4.0;8.0;4;13;2.0;4.0
7;4;4.0;10.0;2;0;5.0;6.0
8;5;5.0;29.0;5;15;26.0;24.0
9;7;7.0;13.0;6;2;6.0;6.0
10;7;7.0;29.0;7;4;22.0;22.0
11;8;8.0;15.0;9;0;8.0;7.0
12;8;8.0;32.0;10;9;22.0;24.0
15;8;8.0;38.0;8;22;29.0;30.0
13;10;10.0;21.0;14;3;10.0;11.0
16;10;10.0;13.0;11;2;2.0;3.0
17;10;10.0;28.0;13;24;16.0;18.0
18;10;10.0;18.0;12;28;9.0;8.0
19;12;12.0;27.0;19;12;15.0;15.0
1;12;12.0;29.0;16;23;14.0;17.0
6;12;12.0;29.0;20;23;17.0;17.0
7;12;12.0;33.0;17;19;16.0;21.0
16;12;13.0;20.0;15;9;11.0;7.0
9;12;13.0;24.0;18;29;8.0;11.0
11;14;15.0;32.0;27;19;17.0;17.0
0;16;16.571035975144827;21.571035975144827;29;27;3.0;5.0
18;14;18.0;19.0;21;17;1.0;1.0
18;14;19.0;20.0;26;17;1.0;1.0
16;16;20.0;24.0;32;18;5.0;4.0
18;20;20.0;27.0;34;1;8.0;7.0
2;16;20.533947486706985;44.533947486706985;28;8;24.0;24.0
14;16;20.74656159583789;31.74656159583789;31;29;12.0;11.0
13;21;21.0;51.0;36;4;29.0;30.0
0;14;21.571035975144827;26.571035975144827;23;27;3.0;5.0
5;16;22.0;25.0;30;28;1.0;3.0
16;24;24.0;38.0;38;21;14.0;14.0
9;24;24.0;32.0;39;15;8.0;8.0
4;21;24.06053494404744;30.06053494404744;37;7;6.0;6.0
5;14;25.0;32.0;25;19;8.0;7.0
0;26;26.571035975144827;48.571035975144824;41;20;19.0;21.999999999999996
19;26;27.0;42.0;40;9;15.0;15.0
18;27;27.0;48.0;43;14;21.0;21.0
17;28;28.0;50.0;44;8;22.0;22.0
1;19;29.0;55.0;33;9;26.0;26.0
6;27;29.0;30.0;42;17;2.0;1.0
10;14;29.0;33.0;22;17;7.0;4.0
8;20;29.0;47.0;35;10;20.0;18.0
6;14;30.0;39.0;24;0;9.0;9.0
4;32;32.0;48.0;45;12;15.0;16.0
14;35;35.0;39.0;47;12;2.0;4.0
11;35;35.0;52.0;46;19;17.0;17.0
3;37;37.0;56.0;49;21;20.0;19.0
12;37;37.0;50.0;48;24;14.0;13.0
9;38;38.0;42.0;51;0;6.0;4.0
10;38;38.0;51.0;50;24;13.0;13.0
14;39;39.0;40.0;54;12;2.0;1.0
7;39;39.0;59.0;53;25;20.0;20.0
16;39;39.0;54.0;55;21;14.0;15.0
5;39;39.0;60.0;52;11;20.0;21.0
14;43;43.0;47.0;59;13;5.0;4.0
9;43;43.0;47.0;61;17;5.0;4.0
19;43;43.0;45.0;57;25;3.0;2.0
15;43;43.0;44.0;62;9;1.0;1.0
6;43;43.0;50.0;63;11;7.0;7.0
15;43;44.0;54.0;58;24;10.0;10.0
2;43;44.533947486706985;55.533947486706985;64;20;14.0;11.0
19;45;45.0;52.0;71;25;3.0;7.0
14;45;47.0;52.0;74;12;2.0;5.0
9;45;47.0;52.0;69;17;5.0;5.0
8;45;47.0;51.0;75;13;3.0;4.0
4;45;48.0;51.0;68;27;3.0;3.0
18;48;48.0;49.0;80;7;1.0;1.0
0;48;48.571035975144824;50.571035975144824;78;2;1.0;2.0
18;46;49.0;56.0;76;26;11.0;7.0
12;50;50.0;53.0;82;21;3.0;3.0
6;50;50.0;59.0;81;27;9.0;9.0
17;48;50.0;54.0;79;21;4.0;4.0
0;45;50.571035975144824;67.57103597514482;72;29;17.0;17.0
4;46;51.0;79.0;77;21;28.0;28.0
10;43;51.0;57.0;60;23;6.0;6.0
13;44;51.0;60.0;66;3;10.0;9.0
8;45;51.0;52.0;70;13;3.0;1.0
14;43;52.0;69.0;65;11;16.0;17.0
9;45;52.0;60.0;73;2;6.0;8.0
19;44;52.0;75.0;67;21;23.0;23.0
12;54;54.0;74.0;84;29;18.0;20.0
11;54;54.0;76.0;83;10;22.0;22.0
2;57;57.0;63.0;86;26;7.0;6.0
3;57;59.0;68.0;85;25;8.0;9.0
15;60;60.0;78.0;87;8;18.0;18.0
16;62;62.0;64.0;89;2;2.0;2.0
1;62;62.0;65.0;88;3;5.0;3.0
17;62;62.0;76.0;90;12;14.0;14.0
2;63;63.0;68.0;91;12;3.0;5.0
10;63;63.0;93.0;92;13;28.0;30.0
16;64;64.0;79.0;94;11;13.0;15.0
9;64;64.0;67.0;93;16;1.0;3.0
18;65;65.0;74.0;95;9;9.0;9.0
1;65;65.0;78.0;96;19;16.0;13.0
6;66;66.0;67.0;103;7;1.0;1.0
8;66;66.0;72.0;100;21;7.0;6.0
7;66;66.0;82.0;99;15;13.0;16.0
5;66;66.0;73.0;102;2;7.0;7.0
13;66;66.0;76.0;97;15;12.0;10.0
6;66;67.0;71.0;101;9;4.0;4.0
9;66;67.0;91.0;98;26;23.0;24.0
2;68;68.0;69.0;106;10;1.0;1.0
3;68;68.0;80.0;104;7;14.0;12.0
0;68;68.0;69.0;105;2;1.0;1.0
14;70;71.0;78.0;107;27;6.0;7.0
2;73;73.0;74.0;108;10;1.0;1.0
2;74;74.0;77.0;115;11;4.0;3.0
0;74;74.0;75.0;109;2;1.0;1.0
6;74;74.0;83.0;116;0;9.0;9.0
8;74;74.0;82.0;110;23;7.0;8.0
18;74;74.0;82.0;111;1;8.0;8.0
5;74;74.0;90.0;114;17;15.0;16.0
12;74;74.0;87.0;112;27;12.0;13.0
0;74;75.0;81.0;113;8;7.0;6.0
2;77;77.0;91.0;117;14;14.0;14.0
14;78;78.0;82.0;118;1;3.0;4.0
17;78;78.0;102.0;120;27;24.0;24.0
15;78;78.0;105.0;119;25;27.0;27.0
4;81;81.0;88.0;122;2;7.0;7.0
1;81;81.0;88.0;123;16;5.0;7.0
3;81;81.0;91.0;121;25;8.0;10.0
16;81;81.0;89.0;124;0;10.0;8.0
14;84;84.0;102.0;125;6;20.0;18.0
13;84;84.0;91.0;126;20;9.0;7.0
6;85;85.0;87.0;127;17;2.0;2.0
8;85;85.0;91.0;129;23;7.0;6.0
19;85;85.0;100.0;131;18;15.0;15.0
18;85;85.0;103.0;128;10;19.0;18.0
11;85;85.0;113.0;130;4;28.0;28.0
4;88;88.0;105.0;133;12;15.0;17.0
6;88;88.0;108.0;132;21;21.0;20.0
7;90;90.0;111.0;135;8;22.0;21.0
1;90;90.0;116.0;137;9;26.0;26.0
16;90;90.0;92.0;134;17;2.0;2.0
5;90;90.0;91.0;136;28;1.0;1.0
