server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
2;1;1.0;6.0;4;22;2.0;5.0
3;1;1.0;6.0;3;3;6.0;5.0
5;1;1.0;10.0;0;9;9.0;9.0
8;1;1.0;2.0;2;9;2.0;1.0
9;1;1.0;26.0;5;7;24.0;25.0
10;2;2.0;4.0;6;6;1.0;2.0
11;2;2.0;10.0;8;12;9.0;8.0
14;2;2.0;27.0;7;11;25.0;25.0
15;4;4.0;7.0;10;4;2.0;3.0
16;5;5.0;8.0;13;8;1.0;3.0
17;5;5.0;8.0;11;4;2.0;3.0
18;5;5.0;6.0;14;6;3.0;1.0
19;5;5.0;9.0;12;0;2.0;4.0
8;4;7.0;12.0;9;13;5.0;5.0
18;7;7.0;21.0;15;25;14.0;14.0
10;7;7.0;8.0;16;2;2.0;1.0
10;10;10.0;13.0;17;2;2.0;3.0
13;12;12.0;13.0;20;0;2.0;1.0
15;12;12.0;16.0;21;18;3.0;4.0
16;12;12.0;16.0;19;27;3.0;4.0
13;10;13.0;27.0;18;15;12.0;14.0
17;13;13.0;24.0;27;22;11.0;11.0
19;13;13.0;25.0;25;16;12.0;12.0
2;13;13.0;14.0;22;1;1.0;1.0
3;13;13.0;31.0;23;26;16.0;18.0
8;13;13.0;19.0;26;13;5.0;6.0
10;13;13.0;35.0;24;25;22.0;22.0
0;16;16.0;21.0;28;15;2.0;5.0
6;16;16.0;17.0;34;0;2.0;1.0
12;16;16.0;31.0;30;25;16.0;15.0
2;16;16.0;27.0;32;3;11.0;11.0
16;16;16.0;17.0;31;8;1.0;1.0
15;16;16.0;30.0;33;20;16.0;14.0
11;16;16.0;25.0;29;15;11.0;9.0
1;20;20.0;45.0;38;23;23.0;25.0
4;20;20.0;41.0;35;27;19.0;21.0
6;20;20.0;41.0;37;15;19.0;21.0
16;20;20.0;25.0;39;6;6.0;5.0
5;20;20.0;51.0;36;21;28.0;31.0
7;23;23.0;29.0;42;13;5.0;6.0
0;23;23.0;34.0;41;5;11.0;11.0
8;23;23.0;37.0;40;22;14.0;14.0
16;23;26.0;29.0;43;25;1.0;3.0
17;26;26.0;32.0;45;11;6.0;6.0
18;26;26.0;35.0;47;20;10.0;9.0
19;26;26.0;32.0;49;8;4.0;6.0
11;26;26.0;44.0;51;19;18.0;18.0
9;26;26.0;41.0;46;2;14.0;15.0
13;27;27.0;31.0;52;7;3.0;4.0
2;27;27.0;35.0;54;21;11.0;8.0
14;26;27.0;44.0;50;2;18.0;17.0
7;29;29.0;33.0;59;13;5.0;4.0
16;29;29.0;41.0;55;16;12.0;12.0
15;29;30.0;34.0;57;26;4.0;4.0
12;26;31.0;38.0;44;26;7.0;7.0
13;30;31.0;40.0;60;13;7.0;9.0
3;29;31.0;37.0;56;24;6.0;6.0
17;32;32.0;55.0;62;9;24.0;23.0
19;32;32.0;38.0;61;15;6.0;6.0
7;33;33.0;51.0;64;28;17.0;18.0
0;34;34.0;35.0;68;12;1.0;1.0
15;34;34.0;50.0;66;0;16.0;16.0
0;33;35.0;37.0;63;10;1.0;2.0
18;35;35.0;47.0;70;24;13.0;12.0
2;34;35.0;53.0;65;2;15.0;18.0
10;35;35.0;37.0;69;28;3.0;2.0
0;37;37.0;39.0;81;12;1.0;2.0
8;37;37.0;46.0;80;12;9.0;9.0
3;37;37.0;43.0;84;3;6.0;6.0
10;36;37.0;40.0;75;11;7.0;3.0
12;35;38.0;47.0;72;11;8.0;9.0
19;36;38.0;40.0;77;0;2.0;2.0
0;36;39.0;40.0;76;15;2.0;1.0
0;40;40.0;41.0;95;10;1.0;1.0
13;40;40.0;48.0;98;13;7.0;8.0
19;40;40.0;41.0;102;18;3.0;1.0
10;40;40.0;53.0;104;11;7.0;13.0
4;38;41.0;62.0;92;27;19.0;21.0
6;38;41.0;55.0;90;4;17.0;14.0
0;40;41.0;46.0;96;15;2.0;5.0
16;40;41.0;61.0;94;3;19.0;20.0
19;40;41.0;44.0;99;18;3.0;3.0
9;38;41.0;45.0;88;22;5.0;4.0
3;40;43.0;44.0;101;6;2.0;1.0
19;38;44.0;48.0;87;8;4.0;4.0
11;36;44.0;45.0;74;16;1.0;1.0
3;37;44.0;55.0;79;8;12.0;11.0
14;40;44.0;45.0;97;13;1.0;1.0
1;45;45.0;52.0;107;28;7.0;7.0
11;45;45.0;46.0;106;16;1.0;1.0
14;36;45.0;50.0;78;13;1.0;5.0
9;37;45.0;51.0;85;26;8.0;6.0
0;46;46.0;53.0;109;1;7.0;7.0
8;46;46.0;51.0;110;16;5.0;5.0
11;46;46.0;73.0;113;8;28.0;27.0
12;38;47.0;49.0;91;14;3.0;2.0
18;45;47.0;55.0;105;6;3.0;8.0
13;37;48.0;50.0;82;7;3.0;2.0
19;48;48.0;51.0;114;5;1.0;3.0
12;46;49.0;54.0;112;9;5.0;5.0
13;37;50.0;52.0;83;7;3.0;2.0
14;46;50.0;52.0;111;25;2.0;2.0
8;40;51.0;54.0;100;20;1.0;3.0
5;27;51.0;52.0;53;4;1.0;1.0
19;34;51.0;57.0;67;8;4.0;6.0
9;46;51.0;58.0;108;22;5.0;7.0
1;35;52.0;62.0;71;28;7.0;10.0
13;38;52.0;66.0;89;11;14.0;14.0
5;26;52.0;67.0;48;11;14.0;15.0
14;36;52.0;56.0;73;27;4.0;4.0
0;53;53.0;60.0;116;4;6.0;7.0
2;40;53.0;61.0;103;20;9.0;8.0
10;53;53.0;57.0;115;6;1.0;4.0
12;54;54.0;67.0;117;22;11.0;13.0
6;55;55.0;59.0;119;10;5.0;4.0
8;55;55.0;57.0;121;19;1.0;2.0
17;55;55.0;59.0;120;24;5.0;4.0
18;55;55.0;75.0;122;19;18.0;20.0
3;55;55.0;79.0;118;5;24.0;24.0
14;56;56.0;61.0;124;27;4.0;5.0
8;56;57.0;62.0;125;4;4.0;5.0
19;56;57.0;70.0;123;26;13.0;13.0
10;58;58.0;77.0;126;12;18.0;19.0
6;59;59.0;87.0;129;9;27.0;28.0
17;59;59.0;68.0;128;17;8.0;9.0
9;59;59.0;64.0;127;22;5.0;5.0
15;59;59.609083644188146;62.609083644188146;130;12;4.0;3.0
0;62;62.0;64.0;133;12;1.0;2.0
1;62;62.0;72.0;136;8;7.0;10.0
4;62;62.0;63.0;132;11;1.0;1.0
16;62;62.0;75.0;137;9;12.0;13.0
8;62;62.0;71.0;134;15;7.0;9.0
2;62;62.0;80.0;135;11;20.0;18.0
4;63;63.0;90.0;138;24;24.0;27.0
0;64;64.0;90.0;139;25;29.0;26.0
15;64;64.0;66.0;140;4;2.0;2.0
14;65;65.0;74.0;142;27;4.0;9.0
9;65;65.0;91.0;141;24;26.0;26.0
7;68;68.0;91.0;143;20;23.0;23.0
15;69;69.0;73.0;147;26;4.0;4.0
12;69;69.0;81.0;144;17;12.0;12.0
13;69;69.0;72.0;148;12;4.0;3.0
17;69;69.0;74.0;146;27;6.0;5.0
5;69;69.0;83.0;145;15;13.0;14.0
1;72;72.0;103.0;151;17;29.0;31.0
13;72;72.0;93.0;149;24;21.0;21.0
8;72;72.0;78.0;150;16;5.0;6.0
15;74;74.0;77.0;152;4;2.0;3.0
19;74;74.0;84.0;154;16;12.0;10.0
17;74;74.0;96.0;153;9;24.0;22.0
16;75;75.0;102.0;156;14;26.0;27.0
18;75;75.0;87.0;157;24;13.0;12.0
11;75;75.0;101.0;155;28;25.0;26.0
15;77;77.0;78.0;158;14;2.0;1.0
15;78;78.0;96.0;161;17;18.0;18.0
8;78;78.0;90.0;163;25;12.0;12.0
14;78;78.0;94.0;159;8;17.0;16.0
10;78;78.0;82.0;160;28;3.0;4.0
3;78;79.0;95.0;162;13;18.0;16.0
12;81;81.0;97.0;165;6;16.0;16.0
2;81;81.0;94.0;164;2;15.0;13.0
19;84;84.0;90.0;167;8;4.0;6.0
5;84;84.0;88.0;166;10;4.0;4.0
10;84;84.0;88.0;168;11;7.0;4.0
6;86;87.0;100.0;172;14;14.0;13.0
18;86;87.0;104.0;178;18;18.0;17.0
5;88;88.0;99.0;185;12;12.0;11.0
10;88;88.0;95.0;189;27;8.0;7.0
0;86;90.0;91.0;177;10;1.0;1.0
4;88;90.0;96.0;186;1;4.0;6.0
19;88;90.0;93.0;184;18;3.0;3.0
8;87;90.0;92.0;181;9;2.0;2.0
7;91;91.0;93.0;194;0;2.0;2.0
0;91;91.0;99.0;197;16;4.0;8.0
9;89;91.0;100.0;192;20;9.0;9.0
8;91;92.0;95.0;193;9;2.0;3.0
7;92;93.0;94.0;198;12;2.0;1.0
13;85;93.0;96.0;171;0;2.0;3.0
19;88;93.0;94.0;188;5;1.0;1.0
7;92;94.0;95.0;202;12;2.0;1.0
19;87;94.0;100.0;183;18;3.0;6.0
2;91;94.0;95.0;195;1;1.0;1.0
14;88;94.0;100.0;187;13;1.0;6.0
7;92;95.0;106.0;201;17;8.0;11.0
8;92;95.0;97.0;199;28;1.0;2.0
2;92;95.0;102.0;200;23;9.0;7.0
10;86;95.0;98.0;176;6;1.0;3.0
3;86;95.0;97.0;175;17;3.0;2.0
15;96;96.0;97.0;204;19;1.0;1.0
4;96;96.0;109.0;205;29;13.0;13.0
13;87;96.0;103.0;180;23;3.0;7.0
17;89;96.0;97.0;191;3;2.0;1.0
15;97;97.0;98.0;206;19;1.0;1.0
12;91;97.0;104.0;196;11;8.0;7.0
8;86;97.0;101.0;173;4;4.0;4.0
17;87;97.0;115.0;182;23;18.0;18.0
3;92;97.0;107.0;203;16;11.0;10.0
15;97;98.0;100.0;207;13;3.0;2.0
10;98;98.0;104.0;208;15;5.0;6.0
0;99;99.0;104.0;214;16;4.0;5.0
5;99;99.0;123.0;213;18;24.0;24.0
15;99;100.0;103.0;209;18;3.0;3.0
6;99;100.0;111.0;215;29;12.0;11.0
14;99;100.0;109.0;211;9;9.0;9.0
9;99;100.0;110.0;210;20;9.0;10.0
8;87;101.0;106.0;179;16;5.0;5.0
11;101;101.0;112.0;219;21;12.0;11.0
16;100;102.0;103.0;217;8;1.0;1.0
2;100;102.0;120.0;216;2;15.0;18.0
15;86;103.0;114.0;174;8;11.0;11.0
13;103;103.0;104.0;220;7;3.0;1.0
16;103;103.0;106.0;222;25;1.0;3.0
0;101;104.0;129.0;218;6;24.0;25.0
12;99;104.0;131.0;212;24;26.0;27.0
13;105;105.0;107.0;228;0;2.0;2.0
10;105;105.0;113.0;224;19;9.0;8.0
18;105;105.0;113.0;226;13;11.0;8.0
7;105;106.0;108.0;225;12;2.0;2.0
16;105;106.0;126.0;227;21;20.0;20.0
8;105;106.0;129.0;223;7;23.0;23.0
13;107;107.0;131.0;229;22;21.0;24.0
3;107;107.0;119.0;230;2;10.0;12.0
7;110;110.0;115.0;232;13;5.0;5.0
4;110;110.0;137.0;231;18;26.0;27.0
6;112;112.0;134.0;233;5;21.0;22.0
7;115;115.0;123.0;234;7;8.0;8.0
15;115;115.0;116.0;243;23;1.0;1.0
14;115;115.0;122.0;240;28;6.0;7.0
10;115;115.0;124.0;235;24;8.0;9.0
18;115;115.0;132.0;236;26;14.0;17.0
11;115;115.0;129.0;242;5;15.0;14.0
17;115;115.0;128.0;239;10;11.0;13.0
9;115;115.0;118.0;241;5;1.0;3.0
1;115;115.81633286995854;121.81633286995854;237;7;8.0;6.0
15;116;116.0;117.0;245;5;1.0;1.0
15;117;117.0;132.0;248;0;16.0;15.0
9;118;118.0;140.0;251;17;19.0;22.0
3;118;119.0;137.0;250;27;16.0;18.0
2;120;120.0;121.0;260;1;1.0;1.0
2;119;121.0;125.0;254;25;7.0;4.0
19;121;121.47156802344868;125.47156802344868;262;5;1.0;4.0
1;121;121.81633286995854;147.81633286995856;266;13;26.0;26.000000000000014
14;119;122.0;137.0;257;16;14.0;15.0
7;123;123.0;132.0;273;17;8.0;9.0
5;123;123.0;132.0;275;26;9.0;9.0
10;119;124.0;131.0;253;11;7.0;7.0
2;119;125.0;127.0;255;22;2.0;2.0
19;121;125.47156802344868;126.47156802344868;267;5;1.0;1.0
16;126;126.0;129.0;279;8;1.0;3.0
19;115;126.47156802344868;127.47156802344868;238;12;2.0;1.0
2;126;127.0;129.0;277;1;1.0;2.0
19;123;127.47156802344868;130.4715680234487;271;18;3.0;3.000000000000014
17;128;128.0;135.0;280;11;6.0;7.0
0;121;129.0;130.0;268;10;1.0;1.0
16;129;129.0;135.0;282;6;6.0;6.0
11;128;129.0;138.0;281;23;7.0;9.0
8;120;129.0;130.0;259;20;1.0;1.0
2;121;129.0;140.0;270;23;9.0;11.0
0;121;130.0;132.0;263;16;4.0;2.0
8;123;130.0;131.0;272;9;2.0;1.0
19;126;130.4715680234487;135.4715680234487;278;6;5.0;5.0
12;119;131.0;137.0;258;14;3.0;6.0
13;125;131.0;138.0;276;6;7.0;7.0
10;117;131.0;149.0;247;16;19.0;18.0
8;117;131.0;132.0;249;9;2.0;1.0
7;121;132.0;145.0;269;26;11.0;13.0
15;119;132.0;136.0;256;26;4.0;4.0
0;132;132.0;141.0;283;1;7.0;9.0
18;133;133.0;150.0;285;26;14.0;17.0
5;133;133.0;142.0;286;26;9.0;9.0
8;133;133.0;148.0;284;10;14.0;15.0
6;135;135.0;163.0;288;11;25.0;28.0
16;135;135.0;148.0;290;26;15.0;13.0
19;136;136.0;151.0;292;9;16.0;15.0
15;136;136.0;152.0;291;2;15.0;16.0
4;135;139.4123646429224;149.4123646429224;287;26;13.0;10.0
12;141;141.0;148.0;294;26;7.0;7.0
0;141;141.0;148.0;295;1;7.0;7.0
14;141;141.0;157.0;296;18;14.0;16.0
13;144;144.0;150.0;304;0;2.0;6.0
17;144;144.0;164.0;302;6;16.0;20.0
11;144;144.0;165.0;301;25;21.0;21.0
5;144;144.0;163.0;298;6;19.0;19.0
2;144;144.0;153.0;300;25;7.0;9.0
3;144;144.0;151.0;299;24;6.0;7.0
9;144;144.0;168.0;303;7;24.0;24.0
7;144;145.0;168.0;297;23;23.0;23.0
1;146;147.81633286995856;152.81633286995856;305;0;4.0;5.0
12;147;148.0;168.0;306;2;20.0;20.0
0;149;149.0;177.0;307;25;29.0;28.0
19;151;151.0;172.0;308;23;22.0;21.0
1;155;155.0;159.0;310;0;4.0;4.0
4;155;155.0;167.0;309;13;10.0;12.0
15;155;155.0;163.0;311;21;6.0;8.0
13;156;156.0;162.0;314;7;3.0;6.0
16;156;156.0;169.0;313;9;12.0;13.0
10;158;158.0;169.0;315;20;11.0;11.0
1;159;159.0;188.0;317;17;29.0;29.0
18;159;159.0;182.0;320;1;20.0;23.0
3;159;159.0;177.0;316;14;18.0;18.0
2;159;159.0;170.0;318;21;11.0;11.0
13;164;164.0;169.0;322;7;3.0;5.0
15;164;166.0;184.0;323;20;16.0;18.0
14;166;166.0;174.0;329;6;7.0;8.0
17;166;166.0;167.0;326;4;2.0;1.0
6;166;166.0;177.0;327;29;12.0;11.0
11;166;166.0;184.0;324;19;18.0;18.0
5;166;166.0;194.0;328;1;27.0;28.0
4;167;167.0;184.0;331;12;15.0;17.0
17;166;167.0;171.0;325;2;6.0;4.0
7;167;168.0;177.0;330;25;9.0;9.0
12;167;168.0;174.0;333;10;6.0;6.0
9;167;168.0;184.0;332;28;17.0;16.0
13;169;169.0;197.0;335;2;27.0;28.0
10;169;169.0;175.0;334;15;5.0;6.0
19;173;173.0;180.0;345;6;5.0;7.0
16;173;173.0;180.0;339;6;6.0;7.0
17;173;173.0;179.0;342;11;6.0;6.0
2;173;173.0;187.0;344;15;15.0;14.0
8;173;173.63584010324686;174.63584010324686;338;28;1.0;1.0
14;173;174.0;177.0;341;25;2.0;3.0
12;173;174.0;178.0;337;9;5.0;4.0
8;173;174.63584010324686;179.63584010324686;340;4;4.0;5.0
10;173;175.0;192.0;336;3;17.0;17.0
7;177;177.0;204.0;347;22;29.0;27.0
14;173;177.0;182.0;343;1;6.0;5.0
6;177;177.0;189.0;346;2;13.0;12.0
17;179;179.0;201.0;355;21;22.0;22.0
3;179;179.0;182.0;350;6;2.0;3.0
0;179;179.0;181.0;349;16;4.0;2.0
12;179;179.0;185.0;354;26;7.0;6.0
8;179;179.63584010324686;186.63584010324686;352;13;5.0;7.0
19;179;180.0;196.0;348;7;14.0;16.0
16;179;180.0;188.0;353;13;8.0;8.0
0;179;181.0;189.0;351;2;11.0;8.0
14;184;184.0;197.0;358;10;12.0;13.0
15;184;184.0;205.0;357;16;20.0;21.0
4;180;185.0;215.0;356;23;25.0;30.0
3;185;185.0;186.0;362;6;2.0;1.0
18;185;185.0;196.0;364;13;11.0;11.0
12;185;185.0;193.0;359;11;8.0;8.0
11;185;185.0;202.0;361;0;17.0;17.0
9;185;185.0;189.0;363;1;3.0;4.0
3;186;186.0;207.0;370;25;21.0;21.0
8;186;186.63584010324686;193.63584010324686;369;15;7.0;7.0
2;186;187.0;190.0;367;0;3.0;3.0
1;188;188.0;197.0;374;11;10.0;9.0
16;187;188.0;192.0;372;27;3.0;4.0
6;187;189.0;208.0;371;6;21.0;19.0
0;189;189.0;193.0;377;15;2.0;4.0
9;188;189.0;190.0;376;1;3.0;1.0
2;186;190.0;191.0;366;22;2.0;1.0
9;186;190.0;200.0;368;3;10.0;10.0
2;185;191.0;197.0;360;18;6.0;6.0
16;189;192.0;200.0;378;13;8.0;8.0
10;187;192.0;195.0;373;2;2.0;3.0
0;188;193.0;194.0;375;15;2.0;1.0
12;186;193.0;213.0;365;2;20.0;20.0
8;194;194.0;195.0;381;19;1.0;1.0
0;194;194.0;203.0;379;27;7.0;9.0
5;194;194.0;209.0;380;24;17.0;15.0
8;195;195.0;208.0;383;6;14.0;13.0
10;194;195.0;200.0;382;6;1.0;5.0
19;195;196.0;203.0;385;24;3.0;7.0
