server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;4;4.0;21.0;0;6;16.0;17.0
2;5;5.0;32.0;5;25;26.0;27.0
3;5;5.0;10.0;2;26;6.0;5.0
5;5;5.0;24.0;3;14;19.0;19.0
6;5;5.0;6.0;1;4;2.0;1.0
9;5;5.0;31.0;4;18;25.0;26.0
10;7;7.0;34.0;6;3;27.0;27.0
12;7;7.0;29.0;7;24;23.0;22.0
13;8;8.0;31.0;9;12;21.0;23.0
16;8;8.0;33.0;8;22;26.0;25.0
17;8;8.0;16.0;10;15;8.0;8.0
18;9;9.0;29.0;11;15;19.0;20.0
19;10;10.0;18.0;13;28;7.0;8.0
6;10;10.0;25.0;12;18;15.0;15.0
3;10;10.0;33.0;14;18;22.0;23.0
8;12;12.0;35.0;15;5;24.0;23.0
1;14;14.0;26.0;16;7;12.0;12.0
4;14;14.0;39.0;17;15;26.0;25.0
15;17;17.0;22.0;19;16;7.0;5.0
17;17;17.0;47.0;18;13;29.0;30.0
7;19;19.0;46.0;20;21;28.0;27.0
19;19;19.0;40.0;21;9;20.0;21.0
0;21;21.0;46.0;23;16;23.0;25.0
14;21;21.867248015980138;37.86724801598014;22;5;14.0;16.0
15;24;24.0;30.0;24;18;9.0;6.0
5;24;24.0;33.0;26;19;10.0;9.0
6;24;25.0;29.0;25;27;6.0;4.0
1;26;26.0;30.0;28;29;3.0;4.0
11;26;26.333306419286295;33.333306419286295;27;3;6.0;7.0
18;28;29.0;43.0;30;25;14.0;14.0
6;26;29.0;49.0;29;10;21.0;20.0
15;31;31.0;35.0;31;24;5.0;4.0
1;32;32.0;54.0;32;6;23.0;22.0
11;35;35.0;47.0;33;5;13.0;12.0
15;36;36.0;61.0;35;26;22.0;25.0
12;36;36.0;43.0;34;12;7.0;7.0
8;36;36.0;46.0;36;12;13.0;10.0
13;37;37.0;50.0;37;10;14.0;13.0
14;38;38.0;56.0;38;14;18.0;18.0
4;41;41.0;64.0;44;2;23.0;23.0
16;41;41.0;47.0;39;3;6.0;6.0
9;41;41.0;65.0;45;15;24.0;24.0
2;41;41.0;51.0;40;9;7.0;10.0
10;41;41.0;42.0;41;5;2.0;1.0
3;41;41.0;47.0;42;17;9.0;6.0
5;41;41.0;43.0;43;8;3.0;2.0
10;42;42.0;70.0;46;3;27.0;28.0
19;42;42.0;50.0;47;28;7.0;8.0
12;44;44.0;48.0;48;19;3.0;4.0
5;45;45.0;54.0;50;1;10.0;9.0
18;45;45.0;73.0;51;2;29.0;28.0
7;45;46.0;71.0;52;13;24.0;25.0
8;45;46.0;72.0;49;27;27.0;26.0
11;47;47.0;66.0;54;10;17.0;19.0
16;47;47.0;72.0;53;22;26.0;25.0
3;47;47.0;58.0;55;6;9.0;11.0
12;48;48.0;57.0;56;7;10.0;9.0
17;48;48.0;50.0;58;29;3.0;2.0
0;48;48.0;64.0;57;26;18.0;16.0
6;48;49.0;58.0;59;8;9.0;9.0
13;50;50.0;52.0;60;9;3.0;2.0
19;50;50.0;58.0;61;28;7.0;8.0
17;50;50.0;72.0;62;2;21.0;22.0
2;51;51.0;70.0;63;26;20.0;19.0
13;52;52.0;55.0;66;2;4.0;3.0
1;52;54.0;75.0;68;10;20.0;21.0
5;52;54.0;71.0;69;10;19.0;17.0
13;55;55.0;68.0;71;22;13.0;13.0
14;52;56.0;63.0;67;28;6.0;7.0
12;51;57.0;82.0;64;13;25.0;25.0
3;58;58.0;77.0;72;19;18.0;19.0
19;52;58.0;83.0;65;15;22.0;25.0
6;54;58.0;67.0;70;8;9.0;9.0
15;61;61.0;80.0;74;29;19.0;19.0
14;62;63.0;69.0;78;15;6.0;6.0
4;63;64.0;82.0;79;14;18.0;18.0
0;62;64.0;69.0;77;25;4.0;5.0
9;65;65.0;92.0;84;0;28.0;27.0
11;64;66.0;73.0;83;2;8.0;7.0
6;67;67.0;70.0;91;29;3.0;3.0
13;67;68.0;83.0;88;1;15.0;15.0
14;69;69.0;85.0;93;6;18.0;16.0
0;69;69.0;76.0;92;21;6.0;7.0
2;64;70.0;88.0;82;20;20.0;18.0
10;63;70.0;72.0;80;24;3.0;2.0
6;63;70.0;73.0;81;24;3.0;3.0
5;71;71.0;90.0;97;0;18.0;19.0
16;67;72.0;73.0;90;28;3.0;1.0
10;65;72.0;85.0;85;10;13.0;13.0
8;65;72.0;93.0;87;6;20.0;21.0
17;65;72.0;79.0;86;15;8.0;7.0
11;69;73.0;100.0;94;27;27.0;27.0
16;69;73.0;74.0;95;27;2.0;1.0
6;61;73.0;92.0;76;9;18.0;19.0
16;61;74.0;97.0;75;5;22.0;23.0
1;75;75.0;94.0;98;13;22.0;19.0
0;76;76.0;83.0;100;13;8.0;7.0
3;77;77.0;83.0;104;21;6.0;6.0
17;77;79.0;82.0;101;26;1.0;3.0
15;77;80.0;89.0;102;16;7.0;9.0
7;77;80.02901021010476;85.02901021010476;103;3;5.0;5.0
4;77;82.0;88.0;105;1;7.0;6.0
12;79;82.0;108.0;106;13;25.0;26.0
17;75;82.0;92.0;99;9;8.0;10.0
13;69;83.0;105.0;96;7;18.0;22.0
3;84;84.0;102.0;107;19;18.0;18.0
19;84;84.0;107.0;108;25;23.0;23.0
