server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;4;4.0;24.0;3;20;20.0;20.0
1;4;4.0;14.0;0;19;9.0;10.0
2;4;4.0;8.0;2;7;5.0;4.0
4;4;4.0;10.0;1;12;7.0;6.0
5;5;5.0;13.0;4;8;7.0;8.0
6;5;5.0;10.0;5;5;6.0;5.0
7;5;5.0;24.0;7;17;18.0;19.0
10;5;5.0;10.0;6;26;4.0;5.0
12;7;7.0;13.0;10;27;3.0;6.0
13;7;7.0;23.0;9;10;15.0;16.0
16;7;7.0;23.0;8;0;15.0;16.0
18;8;8.0;13.0;18;28;5.0;5.0
14;8;8.0;18.0;19;11;9.0;10.0
15;8;8.0;12.0;22;17;2.0;4.0
2;8;8.0;17.0;11;29;10.0;9.0
3;8;8.062480012484835;15.062480012484835;20;11;7.0;7.0
10;8;10.0;15.0;15;26;4.0;5.0
6;10;10.0;24.0;25;8;10.0;14.0
4;8;10.0;12.0;14;21;4.0;2.0
8;9;11.844114786105658;15.844114786105658;23;16;4.0;4.0
15;8;12.0;18.0;13;8;5.0;6.0
4;8;12.0;19.0;12;0;7.0;7.0
18;13;13.0;26.0;27;12;15.0;13.0
12;13;13.0;41.0;26;2;27.0;28.0
5;10;13.0;19.0;24;8;7.0;6.0
1;14;14.0;19.0;32;24;4.0;5.0
10;14;15.0;33.0;31;5;17.0;18.0
3;8;15.062480012484835;16.062480012484833;17;22;1.0;0.9999999999999982
19;14;15.32720180109885;16.32720180109885;30;24;1.0;1.0000000000000018
8;14;15.844114786105658;16.844114786105656;33;21;1.0;0.9999999999999982
3;14;16.062480012484833;18.062480012484833;28;27;2.0;2.0
19;14;16.32720180109885;20.32720180109885;34;12;2.0;4.0
8;8;16.844114786105656;25.844114786105656;16;29;10.0;9.0
14;18;18.0;28.0;35;11;9.0;10.0
15;18;18.0;19.0;36;23;2.0;1.0
3;20;20.0;32.0;42;4;14.0;12.0
15;20;20.0;41.0;40;18;21.0;21.0
2;20;20.0;23.0;41;13;4.0;3.0
5;20;20.0;21.0;37;16;2.0;1.0
1;20;20.0;22.0;38;6;1.0;2.0
4;20;20.0;44.0;39;1;23.0;24.0
9;22;22.0;46.0;43;1;22.0;24.0
11;23;23.0;39.0;44;16;14.0;16.0
17;25;25.0;52.0;45;22;28.0;27.0
19;25;25.0;26.0;46;24;1.0;1.0
19;27;27.0;34.0;47;5;6.0;7.0
8;27;27.0;37.0;49;4;6.0;10.0
5;27;27.0;49.0;50;26;23.0;22.0
2;27;27.0;42.0;48;10;17.0;15.0
13;29;29.0;36.0;53;20;9.0;7.0
16;29;29.0;44.0;52;9;15.0;15.0
1;29;29.0;30.0;51;4;4.0;1.0
1;30;30.0;37.0;54;2;6.0;7.0
18;30;30.0;38.0;55;19;8.0;8.0
6;32;32.0;41.0;56;5;6.0;9.0
7;33;33.0;39.0;61;16;4.0;6.0
0;33;33.0;39.0;60;7;4.0;6.0
14;33;33.0;45.0;59;8;11.0;12.0
3;33;33.0;60.0;57;19;27.0;27.0
10;33;33.0;45.0;58;15;15.0;12.0
19;36;36.0;39.0;69;24;1.0;3.0
13;36;36.0;45.0;64;20;9.0;9.0
8;36;37.0;52.0;68;3;16.0;15.0
1;36;37.0;38.0;65;6;1.0;1.0
1;36;38.0;47.0;63;28;10.0;9.0
18;36;38.0;49.0;66;18;11.0;11.0
11;39;39.0;40.0;71;19;1.0;1.0
19;39;39.0;47.0;70;27;10.0;8.0
7;39;39.0;54.0;72;15;15.0;15.0
0;36;39.0;55.0;67;12;18.0;16.0
11;40;40.0;41.0;77;19;1.0;1.0
11;40;41.0;46.0;74;12;5.0;5.0
6;40;41.0;48.0;81;5;6.0;7.0
15;40;41.0;42.0;82;14;1.0;1.0
12;40;41.0;45.0;78;13;7.0;4.0
15;42;42.0;44.0;93;14;1.0;2.0
16;44;44.0;45.0;99;1;1.0;1.0
15;44;44.0;46.0;102;14;1.0;2.0
4;42;44.0;48.0;88;21;4.0;4.0
13;44;45.0;46.0;108;25;1.0;1.0
16;43;45.0;47.0;95;20;1.0;2.0
14;42;45.0;46.0;85;24;3.0;1.0
12;44;45.0;50.0;105;18;5.0;5.0
10;40;45.0;52.0;80;13;7.0;7.0
11;46;46.0;61.0;110;16;14.0;15.0
9;42;46.0;52.0;90;16;5.0;6.0
13;42;46.0;48.0;89;25;1.0;2.0
14;46;46.0;49.0;111;15;1.0;3.0
15;42;46.0;53.0;87;7;8.0;7.0
19;40;47.0;50.0;83;5;6.0;3.0
16;46;47.0;51.0;112;22;4.0;4.0
1;46;47.0;57.0;113;28;10.0;10.0
13;40;48.0;49.0;84;25;1.0;1.0
6;48;48.0;55.0;117;20;5.0;7.0
4;43;48.0;56.0;94;9;10.0;8.0
13;48;49.0;57.0;116;1;9.0;8.0
14;48;49.0;60.0;114;8;11.0;11.0
18;44;49.0;53.0;104;28;5.0;4.0
5;44;49.0;50.0;109;14;1.0;1.0
19;50;50.0;61.0;120;27;10.0;11.0
5;50;50.0;66.0;119;4;13.0;16.0
12;44;50.0;54.0;107;20;3.0;4.0
16;40;51.0;53.0;73;24;1.0;2.0
17;48;52.0;59.0;115;13;8.0;7.0
9;44;52.0;58.0;100;6;6.0;6.0
8;44;52.0;56.0;103;16;4.0;4.0
10;44;52.0;57.0;106;27;5.0;5.0
16;42;53.0;62.0;86;8;10.0;9.0
18;48;53.0;57.0;118;3;4.0;4.0
15;42;53.0;61.0;92;7;8.0;8.0
7;54;54.0;70.0;122;29;13.0;16.0
12;54;54.0;60.0;124;6;9.0;6.0
0;54;55.0;56.0;123;26;2.0;1.0
6;55;55.0;66.0;128;4;8.0;11.0
0;55;56.0;59.0;127;7;4.0;3.0
8;56;56.0;81.0;129;28;26.0;25.0
4;55;56.0;64.0;126;27;4.0;8.0
13;57;57.0;73.0;131;11;14.0;16.0
1;57;57.0;62.0;132;16;5.0;5.0
18;57;57.0;72.0;133;29;17.0;15.0
10;54;57.0;70.0;125;23;12.0;13.0
9;58;58.0;76.0;134;2;18.0;18.0
17;59;59.0;70.0;139;29;10.0;11.0
