server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
1;2;2.0;13.0;0;13;11.0;11.0
3;2;2.0;23.0;6;23;20.0;21.0
4;2;2.0;26.0;5;3;25.0;24.0
5;2;2.0;31.0;2;14;29.0;29.0
6;2;2.0;13.0;3;23;11.0;11.0
7;2;2.0;15.0;1;9;15.0;13.0
8;2;2.0;17.0;4;8;18.0;15.0
9;3;3.0;22.0;7;25;16.0;19.0
10;3;3.0;5.0;8;12;2.0;2.0
11;4;4.0;8.0;12;0;5.0;4.0
13;4;4.0;24.0;13;26;21.0;20.0
14;4;4.0;16.0;9;20;12.0;12.0
15;4;4.0;21.0;10;12;15.0;17.0
16;4;4.0;11.0;14;1;7.0;7.0
17;4;4.0;30.0;11;18;26.0;26.0
18;6;6.0;11.0;15;9;6.0;5.0
19;9;9.0;35.0;17;11;24.0;26.0
10;9;9.0;11.0;19;12;2.0;2.0
11;9;9.0;24.0;18;6;17.0;15.0
10;11;11.0;30.0;22;28;16.0;19.0
18;11;11.0;16.0;21;13;5.0;5.0
16;11;11.0;19.0;23;20;8.0;8.0
2;11;12.684186325232433;32.68418632523243;20;3;22.0;20.0
1;9;13.0;19.0;16;27;5.0;6.0
6;13;13.0;21.0;24;18;8.0;8.0
0;14;14.0;37.0;34;14;23.0;23.0
7;14;15.0;33.0;38;1;18.0;18.0
12;14;15.787528337735951;44.78752833773595;31;19;29.0;29.0
18;14;16.0;42.0;35;19;25.0;26.0
8;14;17.0;27.0;37;26;10.0;10.0
16;19;19.0;46.0;48;28;24.0;27.0
15;21;21.0;31.0;53;21;5.0;10.0
6;21;21.0;22.0;52;22;1.0;1.0
9;14;22.0;36.0;28;21;16.0;14.0
6;14;22.0;35.0;36;21;14.0;13.0
3;23;23.0;49.0;54;9;26.0;26.0
11;19;24.0;41.0;46;20;17.0;17.0
13;19;24.0;32.0;47;20;9.0;8.0
4;19;26.0;30.0;45;6;8.0;4.0
8;27;27.0;38.0;59;16;12.0;11.0
10;30;30.0;53.0;66;29;20.0;23.0
17;27;30.0;31.0;58;3;2.0;1.0
4;27;30.0;39.0;62;25;9.0;9.0
17;17;31.0;46.0;41;6;15.0;15.0
15;27;31.0;48.0;57;28;17.0;17.0
5;23;31.0;56.0;55;28;26.0;25.0
13;32;32.0;54.0;67;26;21.0;22.0
14;14;32.676255167662816;34.676255167662816;32;12;2.0;2.0
2;21;32.68418632523243;33.68418632523243;51;28;2.0;1.0
7;33;33.0;37.0;71;13;4.0;4.0
2;33;33.68418632523243;57.68418632523243;69;22;25.0;24.0
14;33;34.676255167662816;51.676255167662816;70;10;15.0;17.0
19;35;35.0;44.0;72;0;10.0;9.0
6;35;35.0;39.0;75;26;3.0;4.0
1;25;35.369768692406154;50.369768692406154;56;10;18.0;15.0
9;36;36.0;47.0;76;27;12.0;11.0
0;19;37.0;54.0;49;28;18.0;17.0
7;32;37.0;41.0;68;14;6.0;4.0
8;38;38.0;49.0;78;21;11.0;11.0
4;29;39.0;40.0;65;14;2.0;1.0
6;27;39.0;40.0;63;14;2.0;1.0
4;40;40.0;45.0;80;15;3.0;5.0
6;40;40.0;48.0;79;6;11.0;8.0
11;35;41.0;61.0;74;13;21.0;20.0
7;16;41.0;46.0;39;13;4.0;5.0
18;36;42.0;44.0;77;17;1.0;2.0
19;44;44.0;57.0;83;14;13.0;13.0
18;44;44.0;66.0;81;27;22.0;22.0
12;44;44.78752833773595;55.78752833773595;82;11;12.0;11.0
4;45;45.0;55.0;85;19;11.0;10.0
16;46;46.0;55.0;86;19;9.0;9.0
17;46;46.0;66.0;89;26;21.0;20.0
7;46;46.0;63.0;87;21;17.0;17.0
9;47;47.0;59.0;90;28;13.0;12.0
15;48;48.0;53.0;91;14;5.0;5.0
6;48;48.0;57.0;92;6;11.0;9.0
8;49;49.0;70.0;98;19;20.0;21.0
3;49;49.0;74.0;93;28;26.0;25.0
1;50;50.369768692406154;73.36976869240615;103;22;21.0;23.0
14;50;51.676255167662816;53.676255167662816;108;27;3.0;2.0
10;53;53.0;71.0;113;24;19.0;18.0
15;50;53.0;58.0;107;14;5.0;5.0
14;50;53.676255167662816;60.676255167662816;104;22;7.0;7.0
0;54;54.0;61.0;117;8;8.0;7.0
13;51;54.0;73.0;111;21;20.0;19.0
16;53;55.0;66.0;115;22;11.0;11.0
