server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
2;2;2.0;12.0;0;6;10.0;10.0
3;2;2.0;21.0;1;23;20.0;19.0
4;3;3.0;17.0;3;3;18.0;14.0
5;3;3.0;24.0;2;22;21.0;21.0
6;5;5.0;16.0;5;8;9.0;11.0
7;5;5.0;34.0;4;18;29.0;29.0
8;6;6.0;8.0;7;2;1.0;2.0
9;6;6.0;8.0;8;1;1.0;2.0
11;6;6.0;22.0;6;5;16.0;16.0
13;6;6.0;8.0;9;4;3.0;2.0
14;6;6.0;9.0;12;0;5.0;3.0
15;6;6.0;14.0;14;20;10.0;8.0
16;6;6.0;9.0;10;28;3.0;3.0
17;6;6.0;25.0;13;5;20.0;19.0
18;6;6.0;32.0;15;13;26.0;26.0
19;6;6.0;12.0;16;8;5.0;6.0
8;9;9.0;22.0;18;28;14.0;13.0
9;9;9.0;35.0;17;23;29.0;26.0
13;10;10.0;15.0;20;6;7.0;5.0
16;10;10.0;19.0;21;21;9.0;9.0
10;13;13.0;18.0;22;22;4.0;5.0
12;15;15.0;41.0;24;25;27.0;26.0
14;15;15.0;36.0;23;24;21.0;21.0
0;17;17.0;32.0;26;11;17.0;15.0
1;17;17.0;19.0;25;25;5.0;2.0
10;18;18.0;22.0;28;16;5.0;4.0
19;18;18.0;36.0;27;1;19.0;18.0
1;21;21.0;24.0;38;2;3.0;3.0
13;21;21.0;25.0;34;14;5.0;4.0
15;21;21.0;23.0;46;24;4.0;2.0
2;21;21.0;25.0;33;25;4.0;4.0
6;21;21.0;22.0;37;17;2.0;1.0
16;21;21.0;26.0;35;28;3.0;5.0
4;21;21.0;26.0;40;15;7.0;5.0
3;21;21.0;23.0;29;13;1.0;2.0
10;21;22.0;28.0;32;16;5.0;6.0
6;21;22.0;33.0;45;2;11.0;11.0
8;21;22.0;33.0;30;13;10.0;11.0
11;21;22.0;37.0;41;5;16.0;15.0
15;21;23.0;37.0;43;3;12.0;14.0
3;21;23.0;24.0;39;28;1.0;1.0
1;21;24.0;46.0;44;21;23.0;22.0
5;21;24.0;42.0;31;23;16.0;18.0
3;21;24.0;39.0;36;27;15.0;15.0
13;25;25.0;37.0;47;15;11.0;12.0
2;25;25.0;28.0;48;8;5.0;3.0
17;25;25.0;37.0;49;27;12.0;12.0
16;26;26.0;29.0;51;14;4.0;3.0
4;26;26.0;32.0;50;15;7.0;6.0
10;27;28.0;31.0;56;18;3.0;3.0
2;26;28.0;33.0;52;25;4.0;5.0
16;27;29.0;34.0;55;19;7.0;5.0
10;30;31.0;35.0;61;22;4.0;4.0
0;27;32.0;39.0;54;2;7.0;7.0
4;27;32.0;50.0;53;27;18.0;18.0
18;30;32.0;61.0;59;9;29.0;29.0
2;27;33.0;40.0;57;9;7.0;7.0
6;33;33.0;63.0;62;6;29.0;30.0
8;30;33.0;45.0;60;5;13.0;12.0
16;27;34.0;43.0;58;19;7.0;9.0
10;37;37.0;43.0;63;3;5.0;6.0
13;37;37.0;38.0;64;29;1.0;1.0
14;37;37.0;59.0;65;16;24.0;22.0
15;37;37.0;47.0;66;22;12.0;10.0
13;38;38.0;53.0;68;23;16.0;15.0
19;38;38.0;66.0;67;20;28.0;28.0
0;43;43.0;59.0;69;24;16.0;16.0
12;43;43.0;52.0;71;11;6.0;9.0
9;43;43.0;47.0;72;28;2.0;4.0
10;43;43.0;55.0;70;12;10.0;12.0
1;48;48.0;53.0;73;3;5.0;5.0
2;48;48.0;49.0;74;12;2.0;1.0
7;50;50.0;64.0;76;12;10.0;14.0
2;50;50.0;65.0;77;22;14.0;15.0
11;50;50.0;68.0;75;20;19.0;18.0
17;51;51.0;53.0;84;7;3.0;2.0
9;51;51.0;60.0;80;6;8.0;9.0
15;51;51.0;65.0;78;17;14.0;14.0
16;51;51.0;74.0;81;17;23.0;23.0
3;51;51.0;53.0;82;17;5.0;2.0
8;51;51.0;56.0;83;20;7.0;5.0
