server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
3;1;1.0;19.0;0;18;19.0;18.0
4;1;1.0;16.0;2;28;15.0;15.0
5;1;1.0;16.0;1;29;16.0;15.0
6;4;4.0;13.0;3;20;8.0;9.0
11;4;4.0;5.0;4;28;1.0;1.0
1;8;8.0;20.0;7;25;14.0;12.0
12;8;8.0;26.0;5;14;18.0;18.0
14;8;8.0;33.0;8;0;24.0;25.0
16;8;8.0;33.0;6;28;26.0;25.0
0;9;9.0;27.0;10;13;15.0;18.0
17;9;9.0;32.0;9;14;23.0;23.0
18;11;11.0;31.0;18;1;23.0;20.0
19;11;11.0;27.0;14;27;14.0;16.0
11;11;11.0;24.0;13;12;14.0;13.0
2;11;12.021845957351653;21.02184595735165;20;22;11.0;8.999999999999998
10;11;12.880287299834508;33.88028729983451;11;15;21.0;21.0
6;13;13.0;20.0;21;21;10.0;7.0
15;11;13.099934324655194;26.099934324655194;17;29;14.0;13.0
4;11;16.0;44.0;15;1;28.0;28.0
5;11;16.0;43.0;19;1;26.0;27.0
3;18;19.0;28.0;27;2;9.0;9.0
8;17;19.013437344767787;32.01343734476779;26;26;13.0;13.0
6;20;20.0;22.0;31;17;4.0;2.0
2;18;21.02184595735165;38.02184595735165;28;7;16.0;17.0
6;22;22.0;27.0;33;7;4.0;5.0
13;20;22.023083883008198;43.0230838830082;32;19;21.0;21.0
7;15;22.724323980789563;35.72432398078956;25;16;13.0;13.0
9;23;23.191501537918345;25.191501537918345;36;14;2.0;2.0
11;23;24.0;40.0;37;14;15.0;16.0
9;23;25.191501537918345;42.19150153791834;35;28;17.0;16.999999999999996
12;26;26.0;36.0;38;10;12.0;10.0
15;22;26.099934324655194;46.099934324655194;34;27;18.0;20.0
19;15;27.0;32.0;24;24;3.0;5.0
0;20;27.0;29.0;30;11;2.0;2.0
6;11;27.0;33.0;12;21;10.0;6.0
3;28;28.0;47.0;39;14;19.0;19.0
1;28;28.914682709561685;42.91468270956169;40;25;14.0;14.000000000000004
0;29;29.0;52.0;44;17;21.0;23.0
18;29;31.0;50.0;45;13;21.0;19.0
19;29;32.0;41.0;47;14;10.0;9.0
17;29;32.0;49.0;46;15;16.0;17.0
8;29;32.01343734476779;44.01343734476779;42;28;11.0;12.0
16;33;33.0;36.0;49;27;2.0;3.0
14;28;33.0;56.0;41;3;23.0;23.0
6;29;33.0;41.0;43;21;10.0;8.0
10;33;33.88028729983451;61.88028729983451;48;21;28.0;28.0
7;34;35.72432398078956;46.72432398078956;50;24;11.0;11.0
16;35;36.0;42.0;52;6;7.0;6.0
12;35;36.0;64.0;51;20;28.0;28.0
2;38;38.02184595735165;43.02184595735165;58;15;3.0;5.0
11;38;40.0;41.0;54;29;1.0;1.0
19;38;41.0;65.0;56;29;24.0;24.0
11;38;41.0;64.0;55;6;24.0;23.0
6;38;41.0;45.0;59;20;8.0;4.0
16;41;42.0;72.0;60;24;28.0;30.0
9;35;42.19150153791834;72.19150153791834;53;11;29.0;30.0
13;46;46.0;63.0;64;17;18.0;17.0
8;46;46.0;47.0;61;23;2.0;1.0
1;46;46.0;53.0;63;26;7.0;7.0
2;46;46.0;71.0;62;11;27.0;25.0
7;47;47.0;60.0;65;9;15.0;13.0
8;47;47.0;54.0;67;10;8.0;7.0
15;47;47.0;60.0;66;3;14.0;13.0
17;49;49.0;56.0;70;24;3.0;7.0
6;49;49.0;53.0;69;6;4.0;4.0
5;49;49.0;73.0;68;25;25.0;24.0
4;49;49.0;68.0;71;18;20.0;19.0
3;49;49.0;50.0;72;21;2.0;1.0
18;50;50.0;70.0;73;3;20.0;20.0
3;51;51.0;66.0;74;0;14.0;15.0
0;51;52.0;53.0;77;18;1.0;1.0
1;52;53.0;58.0;81;2;4.0;5.0
0;52;53.0;70.0;82;5;17.0;17.0
6;51;53.0;65.0;78;26;13.0;12.0
8;54;54.0;65.0;87;5;12.0;11.0
17;54;56.0;77.0;86;26;22.0;21.0
14;51;56.0;68.0;80;17;11.0;12.0
1;58;58.0;73.0;88;23;16.0;15.0
7;60;60.0;87.0;89;7;26.0;27.0
15;60;60.0;73.0;90;29;14.0;13.0
10;51;61.88028729983451;80.8802872998345;79;16;16.0;19.0
13;62;63.0;64.0;92;14;1.0;1.0
13;62;64.0;87.0;93;0;23.0;23.0
11;51;64.0;73.0;76;10;10.0;9.0
12;52;64.0;81.0;84;9;16.0;17.0
8;65;65.0;81.0;95;14;18.0;16.0
19;65;65.0;71.0;94;0;6.0;6.0
6;65;65.0;71.0;97;5;5.0;6.0
3;65;66.0;72.0;96;1;6.0;6.0
14;67;68.0;78.0;99;11;10.0;10.0
4;67;68.0;92.0;98;5;25.0;24.0
18;69;70.0;84.0;108;15;13.0;14.0
0;67;70.0;83.0;100;12;15.0;13.0
2;68;71.0;91.0;104;23;19.0;20.0
19;68;71.0;78.0;103;7;8.0;7.0
6;68;71.0;77.0;102;16;6.0;6.0
16;72;72.0;75.0;109;19;2.0;3.0
3;72;72.0;85.0;110;5;13.0;13.0
9;62;72.19150153791834;78.19150153791834;91;20;6.0;6.0
1;51;73.0;89.0;75;27;12.0;16.0
11;69;73.0;101.0;107;27;28.0;28.0
5;67;73.0;79.0;101;24;3.0;6.0
16;74;75.0;94.0;113;12;19.0;19.0
17;77;77.0;92.0;116;18;14.0;15.0
6;76;77.0;81.0;114;13;5.0;4.0
19;77;78.0;88.0;115;25;10.0;10.0
14;77;78.0;91.0;118;2;17.0;13.0
