server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;2;2.0;6.0;0;26;5.0;4.0
1;2;2.0;12.0;1;2;12.0;10.0
3;2;2.0;20.0;2;16;18.0;18.0
4;3;3.0;34.0;4;7;29.0;31.0
5;3;3.0;9.0;5;15;6.0;6.0
6;3;3.0;24.0;3;2;21.0;21.0
9;5;5.0;26.0;7;28;19.0;21.0
10;5;5.0;24.0;10;7;20.0;19.0
11;5;5.0;8.0;8;18;5.0;3.0
12;5;5.0;8.0;6;28;1.0;3.0
13;5;5.0;22.0;9;0;17.0;17.0
15;7;7.0;24.0;11;10;17.0;17.0
16;9;9.0;35.0;13;26;26.0;26.0
17;9;9.0;36.0;12;12;28.0;27.0
18;10;10.0;24.0;15;27;12.0;14.0
19;10;10.0;36.0;16;7;26.0;26.0
11;10;10.0;17.0;14;28;9.0;7.0
12;12;12.0;18.0;17;20;6.0;6.0
0;12;12.0;17.0;19;20;8.0;5.0
5;12;12.0;26.0;20;20;16.0;14.0
1;12;12.0;23.0;23;13;10.0;11.0
14;12;12.044167403554848;34.04416740355485;24;2;23.0;22.000000000000004
2;12;16.557443368200854;31.557443368200854;25;25;15.0;15.0
0;12;17.0;42.0;26;2;22.0;25.0
11;16;17.0;36.0;28;16;19.0;19.0
12;16;18.0;24.0;29;24;6.0;6.0
8;17;19.376738385283794;23.376738385283794;30;9;2.0;4.0
13;21;22.0;44.0;41;27;24.0;22.0
7;20;22.153472236781404;30.153472236781404;36;10;8.0;8.0
1;20;23.0;41.0;38;27;17.0;18.0
8;19;23.376738385283794;49.376738385283794;32;25;25.0;26.0
18;19;24.0;26.0;33;26;2.0;2.0
12;19;24.0;30.0;34;2;8.0;6.0
15;20;24.0;48.0;35;23;25.0;24.0
10;20;24.0;33.0;37;16;7.0;9.0
6;20;24.0;25.0;39;27;1.0;1.0
6;20;25.0;45.0;40;2;21.0;20.0
18;21;26.0;27.0;42;13;1.0;1.0
5;24;26.0;44.0;43;4;19.0;18.0
9;25;26.0;30.0;45;26;5.0;4.0
18;26;27.0;39.0;46;22;12.0;12.0
12;29;30.0;35.0;52;4;5.0;5.0
9;26;30.0;46.0;47;8;18.0;16.0
7;27;30.153472236781404;35.153472236781404;48;28;1.0;5.0
2;27;31.557443368200854;45.55744336820085;49;24;14.0;13.999999999999996
3;28;32.32002912709472;59.32002912709472;50;29;27.0;27.0
10;29;33.0;57.0;53;17;25.0;24.0
