server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;1;1.0;2.0;2;8;2.0;1.0
1;1;1.0;14.0;1;9;16.0;13.0
2;1;1.0;22.0;0;29;21.0;21.0
3;1;1.0;12.0;3;25;11.0;11.0
4;2;2.0;30.0;7;1;27.0;28.0
5;2;2.0;18.0;8;20;18.0;16.0
8;2;2.0;26.0;5;24;24.0;24.0
9;2;2.0;27.0;6;15;24.0;25.0
10;2;2.0;23.0;4;24;20.0;21.0
11;3;3.0;17.0;11;27;14.0;14.0
12;3;3.0;33.0;10;8;29.0;30.0
13;3;3.0;11.0;12;28;9.0;8.0
14;5;5.0;17.0;16;11;12.0;12.0
15;5;5.0;29.0;17;15;26.0;24.0
16;5;5.0;15.0;18;9;11.0;10.0
17;5;5.0;25.0;19;17;21.0;20.0
18;5;5.0;29.0;13;1;23.0;24.0
19;5;5.0;13.0;15;15;8.0;8.0
0;5;5.0;8.0;14;3;3.0;3.0
6;7;10.302089309092754;28.302089309092754;21;3;16.0;18.0
13;7;11.0;39.0;20;9;27.0;28.0
3;12;12.0;16.0;24;5;5.0;4.0
19;12;13.0;25.0;22;0;12.0;12.0
1;12;14.0;39.0;23;13;23.0;25.0
7;12;14.468356227892555;31.468356227892556;26;1;19.0;17.0
16;12;15.0;22.0;27;29;4.0;7.0
3;16;16.0;34.0;34;21;16.0;18.0
14;13;17.0;28.0;31;28;10.0;11.0
11;13;17.0;44.0;28;1;24.0;27.0
5;13;18.0;37.0;29;25;22.0;19.0
16;20;22.0;37.0;43;15;16.0;15.0
2;21;22.0;27.0;51;10;5.0;5.0
10;16;23.0;25.0;35;0;1.0;2.0
17;23;25.0;46.0;58;2;21.0;21.0
19;21;25.0;28.0;54;27;4.0;3.0
10;25;25.0;41.0;64;2;14.0;16.0
8;25;26.0;39.0;63;9;13.0;13.0
9;14;27.0;32.0;32;8;6.0;5.0
2;14;27.0;48.0;33;6;22.0;21.0
19;16;28.0;36.0;37;17;7.0;8.0
14;17;28.0;39.0;38;17;9.0;11.0
6;17;28.302089309092754;43.30208930909275;39;3;16.0;14.999999999999996
18;19;29.0;43.0;40;18;13.0;14.0
15;20;29.0;45.0;41;6;16.0;16.0
4;20;30.0;37.0;42;20;5.0;7.0
7;31;31.468356227892556;49.468356227892556;69;1;19.0;18.0
9;31;32.0;36.0;70;25;4.0;4.0
12;20;33.0;38.0;44;19;8.0;5.0
3;20;34.0;61.0;47;13;28.0;27.0
19;36;36.0;43.0;75;19;7.0;7.0
9;21;36.0;62.0;49;0;26.0;26.0
16;21;37.0;61.0;50;21;23.0;24.0
4;21;37.0;64.0;53;4;28.0;27.0
5;21;37.0;53.0;55;23;16.0;16.0
12;38;38.0;43.0;80;22;3.0;5.0
14;39;39.0;59.0;85;22;21.0;20.0
13;38;39.0;60.0;82;14;20.0;21.0
8;38;39.0;63.0;81;29;24.0;24.0
10;41;41.0;68.0;89;5;27.0;27.0
18;21;43.0;46.0;56;28;3.0;3.0
19;23;43.0;53.0;57;26;10.0;10.0
12;24;43.0;56.0;59;21;13.0;13.0
6;25;43.30208930909275;65.30208930909275;62;16;22.0;22.0
11;44;44.0;47.0;91;19;3.0;3.0
15;26;45.0;46.0;65;11;1.0;1.0
17;28;46.0;61.0;66;15;15.0;15.0
18;28;46.0;69.0;67;1;23.0;23.0
15;31;46.0;70.0;71;25;23.0;24.0
11;33;47.0;51.0;72;26;3.0;4.0
2;48;48.0;74.0;97;13;24.0;26.0
7;49;49.468356227892556;51.468356227892556;102;9;3.0;2.0
