server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;0;0.0;2.0;1;5;1.0;2.0
1;0;0.0;1.0;4;8;1.0;1.0
2;0;0.0;16.0;2;5;15.0;16.0
3;0;0.0;26.0;3;5;26.0;26.0
8;2;2.0;24.0;5;11;24.0;22.0
9;2;2.0;18.0;6;15;15.0;16.0
11;4;4.0;13.0;7;0;10.0;9.0
12;5;5.0;13.0;11;18;8.0;8.0
15;5;5.0;8.0;9;24;4.0;3.0
16;5;5.0;22.0;10;14;16.0;17.0
18;5;5.0;28.0;8;5;25.0;23.0
4;8;8.0;11.0;16;6;1.0;3.0
17;8;8.0;12.0;15;15;7.0;4.0
1;8;8.0;9.0;14;26;1.0;1.0
0;8;8.0;23.0;18;2;16.0;15.0
15;8;8.0;19.0;13;19;11.0;11.0
1;9;9.0;12.0;19;25;4.0;3.0
4;9;11.0;13.0;21;13;1.0;2.0
17;8;12.0;15.0;12;8;3.0;3.0
1;9;12.0;26.0;20;23;16.0;14.0
4;12;13.0;39.0;30;20;25.0;26.0
12;10;13.0;18.0;23;20;7.0;5.0
11;12;13.0;21.0;28;21;10.0;8.0
7;12;13.936474395176534;18.936474395176532;27;7;6.0;4.999999999999998
13;12;14.145876807190074;15.145876807190074;31;17;1.0;1.0
6;10;14.522881470252779;16.522881470252777;26;10;2.0;1.9999999999999982
17;12;15.0;17.0;29;8;3.0;2.0
13;8;15.145876807190074;23.145876807190074;17;25;7.0;8.0
19;15;15.981267875504962;26.98126787550496;32;14;12.0;11.0
2;10;16.0;22.0;25;4;7.0;6.0
6;10;16.522881470252777;26.522881470252777;24;28;9.0;10.0
17;17;17.0;28.0;36;12;11.0;11.0
5;17;17.474852472985447;45.47485247298545;35;18;27.0;28.0
12;17;18.0;20.0;38;15;1.0;2.0
9;17;18.0;31.0;37;19;11.0;13.0
7;15;18.936474395176532;21.936474395176532;33;0;2.0;3.0
15;10;19.0;28.0;22;11;8.0;9.0
12;20;20.0;50.0;40;21;29.0;30.0
14;19;20.688887882317573;35.68888788231757;39;3;14.0;15.0
10;17;20.95847690921278;40.95847690921278;34;16;20.0;19.999999999999996
7;22;22.0;28.0;42;2;2.0;6.0
16;22;22.0;33.0;43;24;11.0;11.0
11;22;22.0;36.0;41;22;15.0;14.0
13;25;25.0;37.0;46;21;12.0;12.0
0;25;25.0;37.0;44;18;12.0;12.0
19;27;27.0;42.0;47;11;15.0;15.0
6;29;29.0;48.0;48;2;16.0;19.0
7;30;30.0;46.0;50;17;16.0;16.0
1;30;30.0;41.0;51;10;10.0;11.0
17;31;31.0;42.0;54;15;7.0;11.0
2;31;31.0;48.0;52;18;15.0;17.0
8;31;31.0;54.0;53;7;22.0;23.0
15;33;33.0;45.0;56;19;11.0;12.0
18;33;33.0;40.0;55;28;6.0;7.0
3;35;35.0;42.0;58;13;6.0;7.0
16;35;35.0;57.0;57;3;25.0;22.0
9;35;35.0;38.0;59;6;1.0;3.0
14;36;36.0;58.0;60;20;23.0;22.0
13;38;38.0;63.0;61;1;29.0;25.0
0;38;38.0;40.0;62;5;1.0;2.0
11;38;38.0;42.0;64;20;2.0;4.0
9;38;38.0;50.0;65;19;11.0;12.0
18;40;40.0;45.0;71;23;6.0;5.0
0;40;40.0;66.0;68;14;25.0;26.0
10;40;40.95847690921278;42.95847690921278;70;28;2.0;2.0
1;41;41.0;58.0;72;20;16.0;17.0
19;42;42.0;70.0;73;23;28.0;28.0
17;40;42.0;45.0;69;14;8.0;3.0
3;40;42.0;44.0;67;25;3.0;2.0
11;42;42.0;43.0;74;24;2.0;1.0
10;44;44.0;49.0;75;24;5.0;5.0
3;44;44.0;54.0;76;8;10.0;10.0
17;45;45.0;54.0;79;12;11.0;9.0
18;45;45.0;56.0;77;21;11.0;11.0
15;45;45.0;59.0;78;25;15.0;14.0
5;46;46.0;51.0;81;25;5.0;5.0
7;46;46.0;49.0;83;0;2.0;3.0
6;48;48.0;53.0;93;5;5.0;5.0
2;48;48.0;49.0;92;12;1.0;1.0
10;46;49.0;61.0;84;3;11.0;12.0
7;47;49.0;66.0;86;3;15.0;17.0
2;48;49.0;55.0;89;21;7.0;6.0
9;47;50.0;72.0;88;3;20.0;22.0
5;48;51.0;52.0;90;10;3.0;1.0
5;52;52.0;58.0;100;24;8.0;6.0
6;53;53.0;56.0;105;20;3.0;3.0
17;53;54.0;72.0;106;4;17.0;18.0
8;53;54.0;59.0;104;0;6.0;5.0
3;53;54.0;55.0;103;18;1.0;1.0
2;55;55.0;79.0;108;17;20.0;24.0
3;55;55.0;71.0;110;23;14.0;16.0
6;48;56.0;58.0;91;10;2.0;2.0
18;47;56.0;58.0;87;1;3.0;2.0
16;49;57.0;58.0;98;18;1.0;1.0
14;49;58.0;65.0;96;12;4.0;7.0
5;52;58.0;63.0;101;25;5.0;5.0
6;58;58.0;61.0;112;8;3.0;3.0
1;49;58.0;60.0;95;25;4.0;2.0
18;46;58.0;62.0;82;0;5.0;4.0
16;55;58.0;73.0;109;15;16.0;15.0
15;51;59.0;69.0;99;14;9.0;10.0
8;53;59.0;65.0;102;4;9.0;6.0
1;55;60.0;65.0;107;7;5.0;5.0
10;46;61.0;65.0;80;22;4.0;4.0
6;56;61.0;81.0;111;16;20.0;20.0
18;48;62.0;72.0;94;3;14.0;10.0
5;63;63.0;67.0;119;25;5.0;4.0
13;63;63.0;74.0;123;19;12.0;11.0
10;63;65.0;80.0;122;18;14.0;15.0
14;63;65.0;66.0;115;17;1.0;1.0
1;63;65.0;67.0;118;21;1.0;2.0
8;63;65.0;71.0;117;0;6.0;6.0
14;66;66.0;96.0;127;10;29.0;30.0
7;66;66.0;68.0;126;0;2.0;2.0
5;63;67.0;73.0;113;3;5.0;6.0
1;63;67.0;72.0;116;7;5.0;5.0
7;68;68.0;84.0;134;6;13.0;16.0
11;68;68.35533899286156;69.35533899286156;133;20;2.0;1.0
15;67;69.0;73.0;128;24;4.0;4.0
11;63;69.35533899286156;70.35533899286156;125;20;2.0;1.0
12;67;69.68841477936391;73.68841477936391;129;9;3.0;4.0
19;63;70.0;73.0;114;29;3.0;3.0
11;67;70.35533899286156;83.35533899286156;130;6;11.0;13.0
8;67;71.0;77.0;131;2;5.0;6.0
3;67;71.0;75.0;132;13;6.0;4.0
1;70;72.0;77.0;135;4;7.0;5.0
17;63;72.0;73.0;124;13;1.0;1.0
18;72;72.0;96.0;136;5;25.0;24.0
9;46;72.0;93.0;85;4;20.0;21.0
5;73;73.0;98.0;137;19;26.0;25.0
12;74;74.0;79.0;140;9;3.0;5.0
19;74;74.0;89.0;142;13;11.0;15.0
13;74;74.0;78.0;144;26;4.0;4.0
17;74;74.0;80.0;141;23;6.0;6.0
15;74;74.0;84.0;139;14;9.0;10.0
3;74;75.0;100.0;143;14;26.0;25.0
1;76;77.0;83.0;146;16;7.0;6.0
8;76;77.0;99.0;149;12;23.0;22.0
13;78;78.0;81.0;151;6;3.0;3.0
12;78;79.0;83.0;150;9;3.0;4.0
2;79;79.0;87.0;152;8;8.0;8.0
10;76;80.0;83.0;145;29;4.0;3.0
17;76;80.0;109.0;147;25;29.0;29.0
13;81;81.0;89.0;154;25;7.0;8.0
6;81;81.0;105.0;153;1;24.0;24.0
16;76;81.00564579100157;82.00564579100157;148;18;1.0;1.0
0;82;82.0;92.0;155;29;9.0;10.0
4;83;85.0;86.0;157;6;1.0;1.0
11;85;85.0;93.0;161;0;10.0;8.0
12;83;85.0;101.0;156;4;16.0;16.0
10;85;85.0;90.0;165;25;4.0;5.0
16;85;85.0;93.0;163;21;7.0;8.0
7;85;85.0;108.0;168;11;23.0;23.0
1;85;85.0;86.0;162;26;1.0;1.0
15;85;85.0;97.0;164;20;13.0;12.0
4;85;86.0;88.0;159;27;2.0;2.0
1;85;86.0;91.0;166;4;7.0;5.0
2;85;87.0;98.0;167;15;10.0;11.0
4;88;88.0;90.0;170;27;2.0;2.0
13;89;89.0;97.0;172;25;7.0;8.0
4;89;90.0;92.0;175;27;2.0;2.0
10;89;90.0;100.0;174;23;11.0;10.0
1;91;91.0;102.0;178;10;10.0;11.0
4;92;92.0;99.0;180;18;7.0;7.0
0;92;92.0;99.0;181;11;6.0;7.0
11;91;93.0;97.0;176;24;2.0;4.0
16;89;93.0;100.0;173;8;7.0;7.0
9;85;93.0;94.0;160;23;3.0;1.0
9;92;94.0;108.0;179;9;14.0;14.0
14;96;96.0;100.0;185;27;8.0;4.0
18;88;96.0;99.0;171;1;3.0;3.0
11;91;97.0;98.0;177;20;2.0;1.0
13;96;97.0;110.0;184;21;12.0;13.0
15;95;97.0;106.0;183;14;9.0;9.0
