server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;2;2.0;19.0;1;20;17.0;17.0
3;2;2.0;28.0;0;15;27.0;26.0
4;3;3.0;32.0;5;28;29.0;29.0
5;3;3.0;29.0;2;13;25.0;26.0
6;3;3.0;7.0;3;15;6.0;4.0
7;3;3.0;18.0;6;18;18.0;15.0
8;5;5.0;18.0;10;23;16.0;13.0
9;5;5.0;30.0;11;18;25.0;25.0
10;5;5.0;12.0;12;27;11.0;7.0
12;5;5.0;8.0;13;17;3.0;3.0
15;5;5.0;11.0;14;28;6.0;6.0
16;5;5.0;31.0;15;15;26.0;26.0
17;5;5.0;21.0;8;13;18.0;16.0
18;5;5.0;11.0;9;9;7.0;6.0
19;5;5.0;29.0;7;1;22.0;24.0
6;7;7.0;26.0;17;24;20.0;19.0
12;8;8.0;19.0;20;2;12.0;11.0
2;8;9.734863979252541;22.73486397925254;18;20;12.0;13.0
18;8;11.0;26.0;19;5;14.0;15.0
15;8;11.0;32.0;21;13;20.0;21.0
10;8;12.0;41.0;23;24;28.0;29.0
13;8;12.61210767046214;26.61210767046214;24;7;16.0;14.0
1;8;12.890558575984155;38.89055857598416;25;7;26.0;26.000000000000004
11;8;14.305533169556984;15.305533169556984;26;23;2.0;1.0
11;8;15.305533169556984;24.305533169556984;27;29;6.0;9.0
8;9;18.0;35.0;29;27;16.0;17.0
7;9;18.0;45.0;31;4;24.0;27.0
12;9;19.0;26.0;32;28;8.0;7.0
0;13;19.0;47.0;33;8;27.0;28.0
14;14;19.29886228557548;29.29886228557548;34;17;9.0;10.0
17;7;21.0;30.0;16;5;9.0;9.0
2;14;22.73486397925254;47.73486397925254;35;1;25.0;24.999999999999996
11;23;24.305533169556984;29.305533169556984;53;15;4.0;5.0
18;23;26.0;31.0;56;28;2.0;5.0
12;20;26.0;55.0;44;25;28.0;29.0
6;14;26.0;47.0;36;17;18.0;21.0
3;28;28.0;46.0;65;25;16.0;18.0
19;28;29.0;49.0;61;16;21.0;20.0
5;14;29.0;40.0;37;15;9.0;11.0
14;15;29.29886228557548;42.29886228557548;38;16;11.0;13.0
11;15;29.305533169556984;46.30553316955698;39;14;16.0;16.999999999999996
9;15;30.0;36.0;40;0;7.0;6.0
17;15;30.0;32.0;41;3;1.0;2.0
16;31;31.0;45.0;67;26;13.0;14.0
18;17;31.0;58.0;43;20;29.0;27.0
17;32;32.0;37.0;69;25;8.0;5.0
15;32;32.0;41.0;71;18;11.0;9.0
4;20;32.0;51.0;45;23;19.0;19.0
8;20;35.0;45.0;46;0;13.0;10.0
9;20;36.0;44.0;47;12;6.0;8.0
17;20;37.0;42.0;48;23;4.0;5.0
1;38;38.89055857598416;58.89055857598416;74;14;20.0;20.0
13;39;39.16147056143436;60.16147056143436;79;14;18.0;21.0
5;39;40.0;50.0;76;11;7.0;10.0
10;41;41.0;65.0;81;0;24.0;24.0
15;20;41.0;62.0;49;13;20.0;21.0
17;42;42.0;45.0;83;3;1.0;3.0
14;42;42.29886228557548;69.29886228557548;85;27;29.0;27.0
9;20;44.0;70.0;50;13;28.0;26.0
8;45;45.0;46.0;86;5;2.0;1.0
16;45;45.0;63.0;87;7;16.0;18.0
17;45;45.0;49.0;89;26;6.0;4.0
7;20;45.0;48.0;51;2;3.0;3.0
8;24;46.0;69.0;57;24;22.0;23.0
3;28;46.0;57.0;62;7;11.0;11.0
11;28;46.30553316955698;73.30553316955698;63;10;27.0;27.0
