server;arrival;start;end;client;class;estimated_proc_time;real_proc_time
0;0;0.0;20.0;1;15;21.0;20.0
4;0;0.0;1.0;3;4;1.0;1.0
6;0;0.0;16.0;7;12;17.0;16.0
8;0;0.0;7.0;4;23;9.0;7.0
9;0;0.0;1.0;8;6;2.0;1.0
11;0;0.0;13.0;0;25;13.0;13.0
12;0;0.0;1.0;5;5;2.0;1.0
16;0;0.0;20.0;2;19;20.0;20.0
18;0;0.0;11.0;6;19;12.0;11.0
13;1;1.0;2.0;9;21;2.0;1.0
19;1;1.0;18.0;10;24;14.0;17.0
9;3;3.0;6.0;12;6;2.0;3.0
12;3;3.0;20.0;11;15;16.0;17.0
4;5;5.0;20.0;13;27;16.0;15.0
13;6;6.0;25.0;14;17;19.0;19.0
9;6;6.0;23.0;15;29;17.0;17.0
2;9;9.0;21.0;18;16;11.0;12.0
5;9;9.0;13.0;16;7;3.0;4.0
8;9;9.0;24.0;19;28;14.0;15.0
1;12;12.0;21.0;23;13;10.0;9.0
10;12;12.0;42.0;20;21;28.0;30.0
7;12;12.0;21.0;22;6;6.0;9.0
18;12;12.0;38.0;21;18;28.0;26.0
17;13;13.0;38.0;26;25;23.0;25.0
5;13;13.0;15.0;24;4;4.0;2.0
11;13;13.0;32.0;25;4;19.0;19.0
5;14;15.0;18.0;41;0;4.0;3.0
6;14;16.0;17.0;27;13;2.0;1.0
3;16;16.87543957727189;21.87543957727189;45;21;2.0;5.0
6;9;17.0;23.0;17;3;5.0;6.0
19;14;18.0;35.0;36;26;17.0;17.0
4;14;20.0;26.0;37;17;8.0;6.0
12;18;20.0;24.0;46;16;6.0;4.0
0;14;20.0;28.0;29;3;7.0;8.0
16;18;20.0;23.0;47;25;4.0;3.0
1;20;21.0;26.0;48;24;4.0;5.0
7;14;21.0;25.0;38;29;2.0;4.0
2;14;21.0;28.0;30;17;7.0;7.0
15;16;21.45417348358683;38.45417348358683;44;4;18.0;17.0
3;14;21.87543957727189;23.87543957727189;32;4;3.0;2.0
14;22;22.499143899347725;27.499143899347725;49;13;5.0;5.0
9;14;23.0;28.0;33;25;8.0;5.0
16;14;23.0;31.0;40;12;8.0;8.0
6;14;23.0;36.0;31;16;13.0;13.0
3;22;23.87543957727189;29.87543957727189;50;20;6.0;6.0
8;24;24.0;45.0;51;4;19.0;21.0
12;14;24.0;31.0;34;16;6.0;7.0
